#Classification	S-7-POLCOM-G_bracken_O.kreport
k__Bacteria	784398
k__Bacteria|p__Proteobacteria	646687
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	294750
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	177405
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	92401
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	21175
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	2542
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales	1179
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Maricaulales	41
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales	3
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	186687
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	185148
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales	959
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales	255
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	323
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	164386
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	137248
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	18986
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	5205
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales	227
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Nevskiales	974
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales	81
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales	528
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	1025
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Methylococcales	25
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Acidiferrobacterales	15
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales	52
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	1
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Immundisolibacterales	11
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales	1
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Kangiellales	1
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	642
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales	459
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfuromonadales	122
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfobacterales	7
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfarculales	50
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	1
k__Bacteria|p__Proteobacteria|c__Acidithiobacillia	115
k__Bacteria|p__Proteobacteria|c__Acidithiobacillia|o__Acidithiobacillales	115
k__Bacteria|p__Proteobacteria|c__Hydrogenophilalia	69
k__Bacteria|p__Proteobacteria|c__Hydrogenophilalia|o__Hydrogenophilales	69
k__Bacteria|p__Proteobacteria|c__Oligoflexia	35
k__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Bdellovibrionales	27
k__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Silvanigrellales	8
k__Bacteria|p__Actinobacteria	105081
k__Bacteria|p__Actinobacteria|c__Actinomycetia	98761
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	65954
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	10197
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Pseudonocardiales	8084
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptomycetales	4545
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales	2465
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Nakamurellales	2436
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micromonosporales	811
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Catenulisporales	1875
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptosporangiales	443
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Jatrophihabitantales	477
