#Classification	S-24-POLPIL-G_bracken_P.kreport
k__Bacteria	28353
k__Bacteria|p__Proteobacteria	22692
k__Bacteria|p__Cyanobacteria	2410
k__Bacteria|p__Actinobacteria	1709
k__Bacteria|p__Firmicutes	526
k__Bacteria|p__Acidobacteria	668
k__Bacteria|p__Planctomycetes	283
k__Bacteria|p__Verrucomicrobia	2
k__Bacteria|p__Chlamydiae	1
k__Bacteria|p__Bacteroidetes	59
k__Eukaryota	3007
k__Eukaryota|k__Viridiplantae	2157
k__Eukaryota|k__Viridiplantae|p__Streptophyta	2157
k__Eukaryota|k__Metazoa	809
k__Eukaryota|k__Metazoa|p__Chordata	809
k__Eukaryota|k__Fungi	41
k__Eukaryota|k__Fungi|p__Ascomycota	41
