#Classification	SRR20002438_bracken_C.kreport
k__Bacteria	69238
k__Bacteria|p__Proteobacteria	60951
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	55593
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	4613
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	687
k__Bacteria|p__Proteobacteria|c__Hydrogenophilalia	57
k__Bacteria|p__Actinobacteria	5799
k__Bacteria|p__Actinobacteria|c__Actinomycetia	5794
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	4
k__Bacteria|p__Firmicutes	2419
k__Bacteria|p__Firmicutes|c__Bacilli	2394
k__Bacteria|p__Firmicutes|c__Clostridia	23
k__Bacteria|p__Firmicutes|c__Negativicutes	2
k__Bacteria|p__Deinococcus-Thermus	10
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci	10
k__Bacteria|p__Bacteroidetes	57
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	36
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	21
k__Eukaryota	2766
k__Eukaryota|k__Metazoa	2425
k__Eukaryota|k__Metazoa|p__Chordata	2425
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	2425
k__Eukaryota|k__Fungi	170
k__Eukaryota|k__Fungi|p__Basidiomycota	169
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Malasseziomycetes	169
k__Eukaryota|k__Fungi|p__Ascomycota	1
k__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes	1
k__Eukaryota|k__Viridiplantae	113
k__Eukaryota|k__Viridiplantae|p__Streptophyta	113
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	113
k__Eukaryota|p__Apicomplexa	56
k__Eukaryota|p__Apicomplexa|c__Conoidasida	56
k__Viruses	1
k__Viruses|k__Heunggongvirae	1
k__Viruses|k__Heunggongvirae|p__Uroviricota	1
k__Viruses|k__Heunggongvirae|p__Uroviricota|c__Caudoviricetes	1
