#Classification	S-16-POLPIL-B_bracken_P.kreport
k__Bacteria	83835
k__Bacteria|p__Proteobacteria	73434
k__Bacteria|p__Actinobacteria	8300
k__Bacteria|p__Cyanobacteria	73
k__Bacteria|p__Tenericutes	2
k__Bacteria|p__Firmicutes	2
k__Bacteria|p__Chloroflexi	1
k__Bacteria|p__Bacteroidetes	959
k__Bacteria|p__Planctomycetes	698
k__Bacteria|p__Verrucomicrobia	10
k__Bacteria|p__Chlamydiae	1
k__Bacteria|p__Acidobacteria	354
k__Eukaryota	463
k__Eukaryota|k__Viridiplantae	232
k__Eukaryota|k__Viridiplantae|p__Streptophyta	232
k__Eukaryota|k__Metazoa	164
k__Eukaryota|k__Metazoa|p__Chordata	164
k__Eukaryota|k__Fungi	67
k__Eukaryota|k__Fungi|p__Ascomycota	65
k__Eukaryota|k__Fungi|p__Basidiomycota	2
k__Viruses	1
k__Viruses|k__Heunggongvirae	1
k__Viruses|k__Heunggongvirae|p__Uroviricota	1
