#Classification	S-8-DICUND-G_bracken_O.kreport
k__Bacteria	628768
k__Bacteria|p__Proteobacteria	322881
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	160179
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	68632
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	45800
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	28538
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	13240
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales	1024
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales	2682
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Maricaulales	146
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomonadales	2
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Holosporales	10
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Parvularculales	99
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	108160
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	105764
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	430
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales	1417
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales	547
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	50984
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	12632
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	12192
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	17874
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Nevskiales	4352
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales	181
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales	110
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales	2581
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales	281
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Methylococcales	59
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cellvibrionales	418
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales	3
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	37
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Thiotrichales	11
