#Classification	NS72_bracken_P.kreport
k__Bacteria	2048616
k__Bacteria|p__Firmicutes	1111469
k__Bacteria|p__Actinobacteria	926429
k__Bacteria|p__Verrucomicrobia	4908
k__Bacteria|p__Bacteroidetes	2691
k__Bacteria|p__Proteobacteria	3095
k__Bacteria|p__Candidatus_Saccharibacteria	13
k__Bacteria|p__Spirochaetes	3
k__Bacteria|p__Fusobacteria	4
k__Eukaryota	302
k__Eukaryota|k__Viridiplantae	300
k__Eukaryota|k__Viridiplantae|p__Streptophyta	300
k__Eukaryota|k__Fungi	1
k__Eukaryota|k__Fungi|p__Ascomycota	1
k__Viruses	15640
k__Viruses|k__Heunggongvirae	15640
k__Viruses|k__Heunggongvirae|p__Uroviricota	15640
