#Classification	S-5-DICUND-B_bracken_P.kreport
k__Bacteria	225731
k__Bacteria|p__Actinobacteria	77340
k__Bacteria|p__Cyanobacteria	5607
k__Bacteria|p__Armatimonadetes	40
k__Bacteria|p__Firmicutes	637
k__Bacteria|p__Chloroflexi	6
k__Bacteria|p__Proteobacteria	135825
k__Bacteria|p__Acidobacteria	4369
k__Bacteria|p__Bacteroidetes	950
k__Bacteria|p__Planctomycetes	808
k__Bacteria|p__Verrucomicrobia	100
k__Bacteria|p__Chlamydiae	24
k__Bacteria|p__Fusobacteria	16
k__Bacteria|p__Candidatus_Saccharibacteria	4
k__Eukaryota	7192
k__Eukaryota|k__Viridiplantae	4990
k__Eukaryota|k__Viridiplantae|p__Streptophyta	4990
k__Eukaryota|k__Metazoa	1498
k__Eukaryota|k__Metazoa|p__Chordata	1498
k__Eukaryota|k__Fungi	702
k__Eukaryota|k__Fungi|p__Ascomycota	659
k__Eukaryota|k__Fungi|p__Basidiomycota	42
k__Eukaryota|p__Euglenozoa	2
k__Viruses	1
k__Viruses|k__Heunggongvirae	1
k__Viruses|k__Heunggongvirae|p__Uroviricota	1
