feature	Acetobacteraceae	Acholeplasmataceae	Acidaminococcaceae	Actinomycetaceae	Aerococcaceae	Aeromonadaceae	Akkermansiaceae	Alcaligenaceae	Alicyclobacillaceae	Atopobiaceae	Bacillaceae	Bacteroidaceae	Barnesiellaceae	Bifidobacteriaceae	Brachyspiraceae	Bradyrhizobiaceae	Brevibacteriaceae	Brucellaceae	Burkholderiaceae	Campylobacteraceae	Cardiobacteriaceae	Carnobacteriaceae	Caulobacteraceae	Chitinophagaceae	Christensenellaceae	Clostridiaceae	Comamonadaceae	Coriobacteriaceae	Corynebacteriaceae	Dehalococcoidaceae	Dermabacteraceae	Desulfomicrobiaceae	Desulfovibrionaceae	Dysgonomonadaceae	Eggerthellaceae	Enterobacteriaceae	Enterococcaceae	Erwiniaceae	Erysipelotrichaceae	Eubacteriaceae	Eubacteriales.Family.XIII..Incertae.Sedis	Fervidobacteriaceae	Flavobacteriaceae	Fusobacteriaceae	Gemmatimonadaceae	Geobacteraceae	Gottschalkiaceae	Helicobacteraceae	Heliobacteriaceae	Lachnospiraceae	Lactobacillaceae	Lawsonellaceae	Leptotrichiaceae	Limnochordaceae	Listeriaceae	Methylobacteriaceae	Microbacteriaceae	Micrococcaceae	Moraxellaceae	Muribaculaceae	Mycobacteriaceae	Mycoplasmataceae	Nanosynbacteraceae	Neisseriaceae	Nocardiaceae	Nocardioidaceae	Odoribacteraceae	Oscillospiraceae	Paenibacillaceae	Pasteurellaceae	Peptococcaceae	Peptoniphilaceae	Peptostreptococcaceae	Phyllobacteriaceae	Planococcaceae	Polyangiaceae	Porphyromonadaceae	Prevotellaceae	Propionibacteriaceae	Pseudomonadaceae	Pseudonocardiaceae	Rhizobiaceae	Rhodocyclaceae	Rhodothermaceae	Rikenellaceae	Roseobacteraceae	Selenomonadaceae	Sphingobacteriaceae	Sphingomonadaceae	Sporomusaceae	Staphylococcaceae	Steroidobacteraceae	Streptococcaceae	Succinivibrionaceae	Sutterellaceae	Synergistaceae	Tannerellaceae	Tepidanaerobacteraceae	Thermaceae	Thermoactinomycetaceae	Thermoanaerobacteraceae	Thermoanaerobacterales.Family.III..Incertae.Sedis	Thermohalobacteraceae	Tissierellaceae	Treponemataceae	Turicibacteraceae	Vallitaleaceae	Veillonellaceae	Vibrionaceae	Weeksellaceae	Xanthomonadaceae	Yersiniaceae
NS34	8	0	50465	2994	8	2	48508	0	0	78	26	4400727	34	100788	0	0	3	0	7	2107	0	187	0	0	481	18706	4	861	64	18	14	0	6	9	14748	230142	2473	0	15677	5910	19	0	12	8894	0	0	0	0	0	469019	69	1841	18	0	3	0	0	9	4	57	0	0	4	30	0	0	40601	141313	7	15	3	12329	9737	0	0	0	3119	2792	66	61	0	0	0	0	69894	0	0	0	0	0	0	0	6831	0	3	6	281718	0	0	0	8	0	0	1	324	11693	1	1185	0	206	1	0
NS36	54	1	116180	486	0	0	1555459	82	0	113	24	1607001	663	149426	0	3	0	0	9	4012	0	36	0	5	1296	147668	71	89811	128	10	0	0	9916	1	14403	1412	6076	0	52499	3451	49	1	4	25	0	0	0	3	25	281487	894	1	3	3	0	9	3	10	228	35	6	0	34	6	0	1	60387	936279	20	205	1	891	14779	16	0	3	479	1530	36	2396	1	0	0	42	556596	0	2	0	58	0	4152	0	11448	0	5717	76	310675	0	0	0	0	8	0	7	241	7504	10	74	8	85	1	0
NS38	112	0	56	142	0	48	896567	0	1	265	33	1994726	351	1111819	65	0	0	0	11	290	0	13	0	0	3069	31544	117	79039	5	6	0	3	13934	0	17808	79194	3523	0	18579	2716	67	0	7	5	0	0	0	0	7	760946	9568	3	0	0	0	0	0	154	371	853	1	0	39	7	0	0	33788	483338	1	1446	2	188	7503	0	0	1	11	375	12	1027	1	0	0	0	169308	12	5	0	0	10	18	0	12678	0	2901	8	175236	0	0	0	0	0	0	0	131	245	1	42474	0	139	1	0
NS39	99	21	23766	299	7	55	30263	0	5	118	62	1308374	13889	519630	0	0	0	0	17	957	6	139	0	0	1724	19635	0	54080	12	0	0	3	29	0	1827	6497	1063	0	16680	3376	145	0	13	75	4	2	0	0	3	679009	189	0	1	0	0	0	0	125	135	310	8	7	75	55	0	0	44931	2703277	16	9472	1	3069	6689	12	8	0	45	191429	51	65	4	0	0	0	145178	64	55792	0	12	30	19	0	19303	0	2001	74	83266	0	0	2	10	0	0	4	984	737	4	7565	0	28	0	0
NS4	25	2	45	33	4	0	243	19	0	5	15	2887396	128	391199	13	0	0	0	154	805	5	24	0	0	46	8999	198	21137	2	0	0	0	0	0	2607	123084	1003	0	10926	1430	9	0	0	113	2	0	0	33	0	1142491	350	0	1	0	0	0	0	60	5	5	72	0	9	320	0	0	9846	1247164	5	21785	2	197	3049	3	0	0	9	1003	14	6	0	0	0	0	12649	24	4	0	0	0	5	1	25474	0	1703	0	35739	0	0	0	0	0	0	0	326	675	6	3989	1	246	0	0
NS40	204	0	8607	465	13	12	386	0	8	36556	159	534364	503	784570	0	0	0	0	19	1924	0	64	4	0	624	32249	54	141817	22	0	0	0	2	3	7549	19576	4391	0	34454	4745	206	0	0	182	0	3	0	0	6	1127271	95293	1	0	0	0	0	2	46	445	28	308	0	127	6	2	1	6256	2583289	27	196	2	1898	19278	25	0	6	768	198442	108	316	7	13	2	0	50568	5	42507	1	27	0	53	0	12292	0	202	0	188079	0	0	0	2	0	0	3	1234	123	14	13879	0	45	0	0
NS41	72	0	6820	34	1	89	17318	2	7	1469	27	1280842	694	40935	0	0	0	0	14	5309	0	10	0	0	252	9548	11	10703	0	1	0	0	1	0	583	331	1964	0	5949	1224	8	0	0	8	0	0	0	0	0	602953	11036	0	0	0	0	0	0	4	256	49	29	0	7	2	0	0	23628	1262110	4	174	0	88	2238	7	0	0	182	2236693	11	2240	0	0	0	0	101115	8	18581	0	1	0	0	0	4338	0	1579	1	304036	0	0	1	0	0	0	0	59	28	0	1210	0	52	0	0
NS46	140	0	127	965	7	16	28094	71	0	228	56	1684257	389	538963	0	6	0	0	50	4953	3	156	0	1	13873	181021	350	1608	43	61	0	7	41	13	133606	52698	3107	0	61159	12291	879	0	9	12	0	0	0	0	25	1908298	5821	9	0	2	121	30	0	333	393	34	0	0	30	14	0	0	37103	1002595	37	69	10	1591	22666	44	0	2	1757	11283	34	35	0	0	0	0	120720	2	5	0	188	1	6221	0	6017	1	1	29	56646	0	0	0	1	5	0	17	454	53640	20	1001	0	351	2	1
NS51	67	0	3275	762	23	0	75	0	0	660	68	179732	14	1188251	1	1066	0	3	7661	1396	0	221	0	0	778	310742	17	15640	118	1	1	0	182	0	2290	99951	3921	0	25533	3226	57	0	4	1408	1	11	0	0	0	2587246	16914	19	11	0	0	506	3	435	6	6	20	1	20	47	0	0	50	1116826	57	452	2	4599	266264	12234	0	0	2144	2411	114	101	0	3	5	0	1763	0	4	0	96	0	47	0	81309	0	11	1	10317	0	0	0	82	3	1	27	529	2356	32	2621	0	92	0	0
NS55	572	0	117	577	13	0	2448	0	0	127	121	697679	9	205087	1	0	0	0	0	210	2	138	0	0	2013	68235	23	66657	11	12	0	0	11	0	41581	29690	2997	0	632066	3665	78	0	0	16	0	48	0	0	23	2819304	1027	8	0	0	0	0	0	52	106	1	1	0	122	0	0	0	6011	1292572	36	56	2	307	30607	0	5	0	64	472	53	0	0	10	0	0	4883	0	16	2	0	0	25	0	40081	0	6	1	4160	0	0	0	0	16	0	0	385	1798	53	449	0	30	0	0
NS58	292	0	808	2704	98	0	162	0	0	224	607	12559	0	366906	1	133	0	0	7111	9852	5	668	0	1	1428	36577	58	101792	313	0	0	0	1	0	3692	264	952	0	241567	764	121	0	1	190	0	15	1	0	16	4662433	460	2	17	0	0	435	1	593	19	8	31	0	160	13	0	0	95	168078	45	2724	0	221	52202	774	4	0	16	30874	125	7	0	0	1	0	509	0	9	1	22	0	261	1	135098	0	13	0	1673	0	0	0	0	0	0	2	121	108512	14	1461	22	5	0	0
NS6	86	0	27	86	12	0	310	0	2	79	63	3395927	268	997	0	0	0	0	4	438	0	165	0	0	579	15705	0	26064	4	2	1	0	6	0	16257	3721	1572	2	57503	2784	11	0	2	3	0	0	0	0	3	1227256	1132	18	4	0	0	0	0	38	10	170	43	0	13	57	0	0	30205	693059	7	451	0	2904	15421	0	0	0	4138	10226	36	2660	0	0	1	0	175227	0	2	0	0	0	29	1	11840	0	2	1	258138	0	0	0	0	0	0	0	294	10	8	554	0	299	0	0
NS62	265	1	8258	1119	20	0	136061	0	0	145	90	199924	41	387268	0	0	0	0	74	11116	0	188	0	0	5189	80024	2	270	6414	30	0	3	4	0	88345	657	10175	0	135620	2328	190	0	0	13	0	1	6	0	21	4065828	1502	4	226	0	5	0	0	191	165	5	0	0	66	0	0	0	2382	565031	33	78	2	318	26373	0	0	0	40	534	41	1	0	24	0	0	134438	5	0	0	0	1	442	8	48171	4	13	2	34471	0	0	1	1	0	0	10	875	1133	90	388	4	170	0	0
NS67	46	0	425	5072	8	0	71145	5	1	973	205	198321	3	1346070	0	146	0	21	3839	1673	2	557	0	0	3699	37809	17	181087	162	2	0	1	49	10	34579	81891	6283	0	58634	5591	491	1	1	88	0	0	0	0	0	2042228	113811	0	650	0	0	136	3	335	65	47	10	2	222	12	3	1	258	1541594	94	1275	18	2779	22479	1186	0	0	244	120560	111	18	7	7	0	0	250	0	46	0	64	100	105	0	26357	0	209	70	20939	3	2	9	343	0	4	4	220	12216	13	8880	0	19	0	0
NS7	68	0	4535	2090	384	11	144	3	2	1124	389	237474	146	1265250	2	0	1	0	27	17956	1	266	0	0	313	25263	169	264595	70	0	1	1	82	0	19013	9289	1907	1	16837	1614	186	6	6	294	0	1	2	0	0	1105770	335441	2	12	0	82	0	0	491	36	105	61	0	127	7	3	0	6692	1817816	15	4554	3	513	174089	0	20	0	26	384557	214	49	1	12	4	17	42393	1	20606	1	40	2	12	0	76712	0	15360	1	25257	0	6	3	0	0	4	3	325	48923	11	26896	0	137	7	1
NS70	276	0	4921	1524	16	0	87	0	0	867	130	280171	5	577610	2	985	0	2	10006	2055	4	46	3	0	786	25459	99	222132	30	24	3	0	6	0	24460	550	5736	0	157541	2402	336	0	0	40	0	0	0	2	0	1903041	1082	1	7	0	1	565	5	800	30	77	9	0	11	3	0	0	208	1500973	20	958	1	126	17580	13070	0	0	16	952393	43	51	0	0	0	0	6196	0	2	0	133	0	189	0	204060	0	756	4	17406	0	0	1	0	0	0	4	420	16124	24	2220	0	16	0	0
NS71	670	0	51830	4306	2	0	535276	0	0	195	232	768251	430	1335093	0	0	0	5	72	3340	0	579	0	0	7770	78204	26	190850	39	3	0	0	8	0	32658	1129	7818	3	157128	16192	804	1	0	76	0	8	7	1	4	1838721	4402	43	49	0	1	9	3	433	0	2	43	5	1	6	4	0	2167	567522	21	77	6	1048	165636	11	0	0	43	1157	438	39	0	57	0	8	14689	0	17	0	0	1	171	2	80904	0	15	25	27118	0	0	2	0	14	4	2	425	58415	3	46	0	50	24	0
NS72	534	0	612	9296	628	22	19261	1	0	2139	375	13213	1	1924363	0	42	1	23	587	806	0	663	0	0	2197	79160	5	353555	51	1	2	0	9	0	4946	1505	1416	0	188250	6069	1867	7	0	63	0	0	3	0	12	2123347	597326	209	2	0	2	23	3	1086	0	6	136	0	490	1	0	0	109	157750	31	45	0	633	91085	525	0	0	1	36964	172	38	1	26	1	0	422	0	88265	0	8	0	5959	1	213312	0	146	0	2578	0	1	0	0	0	0	6	837	2165	24	21511	0	1	5	0
NS77	14	0	142639	360	8	0	103	5	0	83	31	1423377	378	61051	0	7	0	0	20	4323	0	38	0	0	974	63964	55	34269	4	0	0	0	124	0	3425	502490	1074	0	46596	2118	124	0	29	183	0	2	0	0	0	517519	156	9	0	0	0	8	0	479	34	127	0	0	25	73	0	0	27724	1587130	6	759	1	86	12456	0	0	0	79	1184853	75	90	0	0	0	0	47874	0	1	1	25	0	12	0	33957	0	2666	1	250418	0	1	0	0	0	0	0	49	419	2	1743	0	15	0	0
NS78	715	32	365	1031	5	22	174	0	0	24146	250	33694	6	1038975	1	550	0	0	5772	1250	0	905	0	0	1175	35840	12	222426	14	0	0	0	0	0	2740	1304	1584	0	92744	2398	391	1	0	38	0	0	0	0	0	3327071	12525	0	60	0	0	219	4	521	202	119	0	0	20	0	0	0	1233	547702	35	188	4	109	51928	7566	0	0	3	78501	70	103	0	0	0	0	8249	0	18	0	104	0	452	0	429464	0	123	11	4127	0	1	6	0	0	0	7	2366	13372	23	1846	0	10	0	0
NS79	365	0	35179	264	11	4	119	0	0	78	164	587142	28	1152116	0	747	0	0	7202	1428	1	37	0	0	667	20019	12	126580	24	2	0	0	15	0	18367	627	15309	2	131843	2893	60	0	0	19	0	0	2	0	0	1839275	956	0	9	0	0	388	0	247	0	1	82	0	12	0	0	0	3228	1934298	0	61	2	147	11332	10162	0	0	9	166	132	6	0	0	0	0	21492	0	0	0	83	0	18	0	16696	0	121	2	15390	0	0	1	2	0	0	2	726	221	21	311	0	13	1	0
NS81	386	0	120	1445	67	5	4182	12	0	81	296	29599	2	550684	4	2205	0	0	23156	2207	0	807	11	0	8112	49776	207	68	85	2	1	0	3	0	60798	3098	15564	0	215699	4280	240	4	1	23	0	22	6	0	153	4024984	6484	0	45	0	3	1292	0	24	12	0	30	0	144	18	0	0	15	660686	65	163	1	1028	89353	28340	5	0	7	52	46	9	0	37	0	0	3659	0	11	0	225	5	88	0	121592	4	43	2	7145	2	0	0	2	22	2	6	5251	21418	12	11153	0	12	0	0
NS83	450	0	53771	2660	133	23	59599	0	0	1184	185	269965	173	394209	0	138	2	0	1668	1487	0	92	0	0	2480	61643	14	445666	110	5	0	0	46	0	34761	21755	12347	2	145108	20979	193	1	0	8	0	6	4	1	0	1719761	62047	0	2	2	301	101	3	565	646	167	18	0	40	0	0	0	5734	2087021	32	1237	5	399	49239	1987	0	0	12	155147	210	6	2	13	0	0	21338	1	27	3	13	0	266	2	250855	0	5076	12	41776	1	0	0	0	0	3	8	1227	20422	20	281	0	5	1	13
NS86	111	0	2250	1543	106	117	358	52	0	8135	53	28767	21	472224	0	130	0	0	4404	1495	4	100	2	0	1055	40083	108	50579	15	4	7	1	0	2	3005	8536	2008	0	58037	1817	26	0	0	23	0	0	0	0	3	2357040	40250	0	4	0	0	468	2	1030	93	46	229	0	19	20	0	0	478	2587474	12	5618	0	157	25292	1055	2	0	3	67631	69	151	2	1	0	0	8758	0	65	0	24	0	1769	2	155752	0	271	0	6243	0	0	0	0	0	0	3	732	104	3	10833	0	2	54	0
NS9	418	0	48478	340	0	0	235	0	4	83	60	1707659	1198	16621	0	0	0	0	0	9348	0	39	0	0	2870	82153	21	48981	2	9	0	6	124	0	10473	37833	4742	0	52008	5165	124	0	3	21	0	0	0	0	0	1582258	1236	0	1	0	0	0	0	24	71	228	722	0	58	1	0	0	82191	1336238	44	31	7	132	106094	0	0	0	139	4547	7	13	4	0	0	18	521755	17	113	1	0	14	221	0	52929	15	16	11	237851	0	0	1	0	0	0	0	130	317	14	388	0	62	1	1
