feature	Acetobacteraceae	Acholeplasmataceae	Acidaminococcaceae	Actinomycetaceae	Aerococcaceae	Aeromonadaceae	Akkermansiaceae	Alcaligenaceae	Alicyclobacillaceae	Atopobiaceae	Bacillaceae	Bacteroidaceae	Barnesiellaceae	Bifidobacteriaceae	Brachyspiraceae	Bradyrhizobiaceae	Brevibacteriaceae	Brucellaceae	Burkholderiaceae	Campylobacteraceae	Cardiobacteriaceae	Carnobacteriaceae	Caulobacteraceae	Chitinophagaceae	Christensenellaceae	Clostridiaceae	Comamonadaceae	Coriobacteriaceae	Corynebacteriaceae	Dehalococcoidaceae	Dermabacteraceae	Desulfomicrobiaceae	Desulfovibrionaceae	Dysgonomonadaceae	Eggerthellaceae	Enterobacteriaceae	Enterococcaceae	Erwiniaceae	Erysipelotrichaceae	Eubacteriaceae	Eubacteriales.Family.XIII..Incertae.Sedis	Fervidobacteriaceae	Flavobacteriaceae	Fusobacteriaceae	Gemmatimonadaceae	Geobacteraceae	Gottschalkiaceae	Helicobacteraceae	Heliobacteriaceae	Lachnospiraceae	Lactobacillaceae	Lawsonellaceae	Leptotrichiaceae	Limnochordaceae	Listeriaceae	Methylobacteriaceae	Microbacteriaceae	Micrococcaceae	Moraxellaceae	Muribaculaceae	Mycobacteriaceae	Mycoplasmataceae	Nanosynbacteraceae	Neisseriaceae	Nocardiaceae	Nocardioidaceae	Odoribacteraceae	Oscillospiraceae	Paenibacillaceae	Pasteurellaceae	Peptococcaceae	Peptoniphilaceae	Peptostreptococcaceae	Phyllobacteriaceae	Planococcaceae	Polyangiaceae	Porphyromonadaceae	Prevotellaceae	Propionibacteriaceae	Pseudomonadaceae	Pseudonocardiaceae	Rhizobiaceae	Rhodocyclaceae	Rhodothermaceae	Rikenellaceae	Roseobacteraceae	Selenomonadaceae	Sphingobacteriaceae	Sphingomonadaceae	Sporomusaceae	Staphylococcaceae	Steroidobacteraceae	Streptococcaceae	Succinivibrionaceae	Sutterellaceae	Synergistaceae	Tannerellaceae	Tepidanaerobacteraceae	Thermaceae	Thermoactinomycetaceae	Thermoanaerobacteraceae	Thermoanaerobacterales.Family.III..Incertae.Sedis	Thermohalobacteraceae	Tissierellaceae	Treponemataceae	Turicibacteraceae	Vallitaleaceae	Veillonellaceae	Vibrionaceae	Weeksellaceae	Xanthomonadaceae	Yersiniaceae
NS10	124	0	5046	280	0	19	747	0	0	751	146	97697	27	1019790	0	0	0	0	0	5646	0	67	0	0	1217	65305	15	1082353	35	2	0	0	6	0	18542	13825	6604	0	61904	5240	72	0	0	29	0	4	0	0	20	2603949	420	3	0	0	1	0	7	5	81	5	0	0	37	0	0	0	139	796975	39	11	3	233	19683	0	0	0	7	60411	67	25	0	22	1	0	2007	0	19	0	0	5	61	0	8901	0	104	5	9722	0	0	3	2	0	0	6	176	95	10	68185	0	4	1	0
NS11	47	0	30338	62	6	19	17570	0	0	70	26	2473380	189	177144	0	0	0	0	11	540	1	22	0	0	901	9447	366	45665	1	1	0	2	230	0	2420	26955	1897	0	6422	1842	31	0	2	2	0	1	0	0	7	154023	9542	0	0	2	0	0	0	23	0	1279	0	0	4	6	0	0	39763	391162	1	278	0	31	1481	0	0	0	8	1651256	12	5490	4	28	0	0	77825	0	24	1	0	0	14	0	5606	0	3185	1	533147	0	0	0	0	0	0	1	93	56	0	286945	0	17	1	0
NS13	173	0	100	292	2	36	217	0	0	6	188	1908093	45	1434	0	0	0	0	0	324	0	31	0	0	606	28949	18	96	22	1	1	0	0	0	41941	122	2354	0	35265	2754	55	0	47	43	1	0	2	0	0	3149794	326	14	23	0	2	3	3	3	46	2	56	0	2	9	0	0	1819	511962	0	63	3	1446	105177	0	13	0	18	1417	30	44	3	0	1	0	123416	0	6	0	23	0	19	0	26307	1	12	4	8530	0	0	0	0	0	1	30	320	1962	48	219	0	543	7	0
NS21	30	0	90	210	14	0	237	0	0	22	39	3102853	4	12653	0	0	0	0	8	1741	3	35	4	0	204	21474	56	92	647	10	0	0	21	0	7399	26262	818	0	16137	642	112	0	0	12	0	0	0	0	6	1151482	101	0	13	0	0	0	1	24	326	16	245	0	14	3	0	0	33992	1430944	7	871	0	18	6201	0	0	0	2	672	48	15	0	0	0	0	587	4	4	0	0	0	0	0	23892	0	2	0	82867	0	0	0	1	0	0	0	171	23	6	32559	0	1	0	0
NS25	145	0	117944	98	0	11	121	0	2	12	30	3401812	478	26364	0	0	0	0	0	16409	0	3	0	0	375	22969	0	33	0	6	0	1	160	0	3249	370	30618	0	16998	5264	0	0	0	22	0	1	0	0	3	388429	121	0	10	0	0	0	0	6	8	116	36	0	4	0	0	0	7478	1796495	7	65	8	144	7624	0	0	0	11	1197	79	1842	0	0	0	0	6279	0	1	0	24	0	6	1	1352	0	1580	0	99650	0	0	0	0	0	0	0	134	494	0	227	0	12	0	0
NS27	139	0	270	133	42	31	62570	0	0	4033	77	1753361	104	1173143	5	0	0	0	0	5400	1	31	0	0	1226	26163	9	52744	4	0	0	0	1	0	3262	276	621	0	47238	3842	45	0	4	6	0	0	0	0	0	1118534	2719	0	1	0	0	0	2	10	0	5	3	0	15	10	0	0	266	1284747	3	4676	0	91	7108	0	9	0	29	6208	12	2	1	0	0	0	72612	0	10	1	0	0	88	0	137909	0	682	0	125103	0	0	0	0	0	0	16	167	90	7	60591	0	436	1	0
NS28	22	0	39721	470	1	27	523400	0	0	5762	61	530931	841	158354	329	0	0	0	0	22662	0	61	0	49	638	18806	6	8409	181	0	0	0	16	0	1022	17077	1280	0	20741	1657	37	0	21	610	0	0	0	2	0	578289	694	56	1	0	0	0	0	8	127	1745	1233	11	17	7	0	2	21078	1246502	10488	2738	2	323	7475	0	31	0	455	2113782	22	20	1	0	0	26	131737	4	10	0	68	3	59	0	18494	0	17990	8	241233	0	0	0	0	0	0	0	159	238	7	208367	0	228	0	0
NS29	8	0	2846	837	3	0	219	0	0	260	156	680783	41	1832519	0	0	0	0	14	3524	0	71	0	0	4447	247276	0	13564	22	2	0	0	20	0	108999	1760	7856	0	381464	84236	987	0	0	208	0	0	1	0	0	1270540	875	0	1	0	0	0	0	18	9	2	164	0	31	2	2	0	25	1151620	22	27	1	1949	65711	31	0	0	14	1878	47	8	0	8	0	0	35304	0	67	5	0	2	78	0	51029	0	2	10	3530	0	0	0	27	27	2	0	95	1019	35	512	0	9	5	0
NS30	256	0	607	845	47	11	424	2	0	285	263	330532	7	668354	0	0	1	0	40	2926	3	152	0	0	322	80859	60	14879	7	0	0	0	7	1	22899	376970	15152	0	48088	8185	151	0	0	35	0	13	0	0	6	3331382	2213	0	0	0	0	52	0	32	75	9	1166	1	644	3	0	0	68	952702	0	5	0	386	50114	13	0	0	8	3796	129	11	0	0	0	0	7188	0	41	0	8	1	47	0	30308	0	573	0	1988	0	0	4	0	0	3	1	774	184	45	562	1	2	0	9
NS32	304	0	13871	337	1	44	41935	0	0	42	68	1045100	650	126414	168	0	0	0	12	13230	0	9	0	0	984	66477	20	25955	40	0	0	3	4721	191	3599	25772	4664	0	9486	3921	84	0	14	2	0	1	0	0	8	1441779	46898	0	38	0	0	0	0	22	66	549	472	0	47	0	0	0	37277	1857172	12	128	1	186	4827	18	0	0	195	988778	20	7	0	0	0	8	88486	0	26	2	13	5	56	0	12983	0	6071	10	80075	1	0	8	1	3	0	1	348	321	3	1837	0	43	0	0
