#Classification	GQ26_bracken_P.kreport
k__Bacteria	2455967
k__Bacteria|p__Firmicutes	1902046
k__Bacteria|p__Actinobacteria	211382
k__Bacteria|p__Tenericutes	76
k__Bacteria|p__Cyanobacteria	6
k__Bacteria|p__Bacteroidetes	240023
k__Bacteria|p__Chlorobi	1
k__Bacteria|p__Gemmatimonadetes	1
k__Bacteria|p__Fusobacteria	73501
k__Bacteria|p__Proteobacteria	23349
k__Bacteria|p__Spirochaetes	4396
k__Bacteria|p__Candidatus_Saccharibacteria	1156
k__Bacteria|p__Synergistetes	21
k__Bacteria|p__Verrucomicrobia	4
k__Bacteria|p__Chlamydiae	1
k__Bacteria|p__Planctomycetes	1
k__Eukaryota	19496
k__Eukaryota|k__Viridiplantae	10515
k__Eukaryota|k__Viridiplantae|p__Streptophyta	10515
k__Eukaryota|k__Metazoa	7978
k__Eukaryota|k__Metazoa|p__Chordata	7978
k__Eukaryota|k__Fungi	998
k__Eukaryota|k__Fungi|p__Ascomycota	956
k__Eukaryota|k__Fungi|p__Basidiomycota	42
k__Eukaryota|p__Apicomplexa	4
k__Archaea	3
k__Archaea|p__Euryarchaeota	3
k__Viruses	32
k__Viruses|k__Heunggongvirae	32
k__Viruses|k__Heunggongvirae|p__Uroviricota	24
k__Viruses|k__Heunggongvirae|p__Peploviricota	8
