#Classification	GQ8_bracken_P.kreport
k__Bacteria	10454101
k__Bacteria|p__Firmicutes	9428070
k__Bacteria|p__Actinobacteria	635481
k__Bacteria|p__Tenericutes	75
k__Bacteria|p__Deinococcus-Thermus	11
k__Bacteria|p__Bacteroidetes	211106
k__Bacteria|p__Proteobacteria	103249
k__Bacteria|p__Fusobacteria	69918
k__Bacteria|p__Candidatus_Saccharibacteria	4711
k__Bacteria|p__Spirochaetes	1207
k__Bacteria|p__Synergistetes	270
k__Eukaryota	13031
k__Eukaryota|k__Metazoa	8950
k__Eukaryota|k__Metazoa|p__Chordata	8950
k__Eukaryota|k__Fungi	632
k__Eukaryota|k__Fungi|p__Basidiomycota	606
k__Eukaryota|k__Fungi|p__Ascomycota	26
k__Eukaryota|k__Viridiplantae	3448
k__Eukaryota|k__Viridiplantae|p__Streptophyta	3448
k__Viruses	10054
k__Viruses|k__Heunggongvirae	10054
k__Viruses|k__Heunggongvirae|p__Uroviricota	10029
k__Viruses|k__Heunggongvirae|p__Peploviricota	25
