#Classification	S-6-POLCOM-G_bracken_P.kreport
k__Bacteria	171134
k__Bacteria|p__Proteobacteria	134739
k__Bacteria|p__Actinobacteria	26582
k__Bacteria|p__Cyanobacteria	187
k__Bacteria|p__Firmicutes	5354
k__Bacteria|p__Chloroflexi	1
k__Bacteria|p__Acidobacteria	3487
k__Bacteria|p__Bacteroidetes	582
k__Bacteria|p__Planctomycetes	189
k__Bacteria|p__Chlamydiae	5
k__Bacteria|p__Verrucomicrobia	5
k__Eukaryota	20862
k__Eukaryota|k__Viridiplantae	18947
k__Eukaryota|k__Viridiplantae|p__Streptophyta	18947
k__Eukaryota|k__Metazoa	1427
k__Eukaryota|k__Metazoa|p__Chordata	1427
k__Eukaryota|k__Fungi	486
k__Eukaryota|k__Fungi|p__Ascomycota	405
k__Eukaryota|k__Fungi|p__Basidiomycota	81
k__Eukaryota|p__Euglenozoa	1
