#Classification	GQ34_bracken_P.kreport
k__Bacteria	2404009
k__Bacteria|p__Firmicutes	1498240
k__Bacteria|p__Actinobacteria	17347
k__Bacteria|p__Bacteroidetes	862731
k__Bacteria|p__Proteobacteria	25611
k__Bacteria|p__Fusobacteria	73
k__Bacteria|p__Spirochaetes	4
k__Eukaryota	610
k__Eukaryota|k__Fungi	606
k__Eukaryota|k__Fungi|p__Ascomycota	606
k__Eukaryota|k__Viridiplantae	3
k__Eukaryota|k__Viridiplantae|p__Streptophyta	3
k__Viruses	254
k__Viruses|k__Heunggongvirae	254
k__Viruses|k__Heunggongvirae|p__Uroviricota	254
