name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Methylobacterium sp030700285	118344	S	104	1138	1242	0.50798
Methylobacterium sp001455965	118303	S	5	55	60	0.02454
Methylobacterium sp008039875	118308	S	1	11	12	0.00491
Rhizobium rhododendri	119997	S	2	30	32	0.01309
Chelativorans_C intermedius	119334	S	1	180	181	0.07403
Mesorhizobium sp024746815	119645	S	1	7	8	0.00327
Bradyrhizobium sp019748335	120583	S	4	85	89	0.03640
Sphingomonas sp019744885	125202	S	8	198	206	0.08425
Sphingomonas glacialis	125042	S	2	36	38	0.01554
Sphingomonas glacialis_A	125043	S	1	9	10	0.00409
Sphingomonas sp029911635	125254	S	1	18	19	0.00777
Sphingomonas sp005502745	125170	S	1	99	100	0.04090
Sphingomonas sp002281535	125146	S	1	0	1	0.00041
Novosphingobium sp019748365	124506	S	2	101	103	0.04213
Rhodoferax_B koreense	128805	S	1	79	80	0.03272
Caballeronia sp018449635	126769	S	1	5	6	0.00245
Parasulfuritortus sp031291185	131442	S	1	18	19	0.00777
Sideroxyarcus sp902459525	130061	S	1	42	43	0.01759
Dyella_B sp903970555	140509	S	1	22	23	0.00941
PCC-7502 sp000317085	97877	S	11	21	32	0.01309
Stenomitos frigidus	97147	S	1	7	8	0.00327
Stenomitos sp021323955	97153	S	1	0	1	0.00041
Frondihabitans sp001423105	43906	S	1	23	24	0.00982
Tetrasphaera_A sp020160805	43545	S	2	69	71	0.02904
Mycobacterium sp016462545	46709	S	1	0	1	0.00041
Mucilaginibacter sp010093045	89899	S	1	5	6	0.00245
Terriglobus roseus	40380	S	3	3	6	0.00245
Terriglobus roseus_B	40382	S	1	1	2	0.00082
Granulicella_D aggregans_A	40206	S	1	1	2	0.00082
Acidoferrum sp955651735	39751	S	2	0	2	0.00082
Palsa-295 sp003156635	39785	S	1	5	6	0.00245
