name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Methylobacterium sp001455965	118303	S	7	153	160	0.12308
Methylobacterium sp030700285	118344	S	6	184	190	0.14615
Methylobacterium sp022829285	118323	S	1	25	26	0.02000
Lichenihabitans flavocetrariae	118233	S	1	4	5	0.00385
Rhizobium rhododendri	119997	S	1	44	45	0.03462
Sphingomonas sp022662475	125218	S	7	289	296	0.22769
Sphingomonas sp000251145	125102	S	1	67	68	0.05231
Lichenicola sp903844135	113925	S	4	170	174	0.13385
Pseudomonas_E sp026153515	138806	S	1	114	115	0.08846
Caballeronia sp001557535	126764	S	1	39	40	0.03077
Terriglobus roseus	40380	S	6	27	33	0.02538
Granulicella_B arctica	40194	S	1	6	7	0.00538
Granulicella sp019351975	40174	S	1	2	3	0.00231
Mucilaginibacter sp903864275	89965	S	1	4	5	0.00385
Frondihabitans sp002074055	43908	S	2	123	125	0.09615
REEB67 sp018971775	98642	S	1	1	2	0.00154
