#Classification	S-5-POLPIL-G_bracken_P.kreport
k__Bacteria	573370
k__Bacteria|p__Proteobacteria	472869
k__Bacteria|p__Actinobacteria	66351
k__Bacteria|p__Cyanobacteria	818
k__Bacteria|p__Firmicutes	3005
k__Bacteria|p__Armatimonadetes	21
k__Bacteria|p__Chloroflexi	14
k__Bacteria|p__Deinococcus-Thermus	12
k__Bacteria|p__Acidobacteria	23322
k__Bacteria|p__Bacteroidetes	4467
k__Bacteria|p__Rhodothermaeota	20
k__Bacteria|p__Chlorobi	1
k__Bacteria|p__Gemmatimonadetes	39
k__Bacteria|p__Planctomycetes	1930
k__Bacteria|p__Verrucomicrobia	446
k__Bacteria|p__Chlamydiae	38
k__Bacteria|p__Candidatus_Saccharibacteria	2
k__Bacteria|p__Nitrospirae	1
k__Bacteria|p__Spirochaetes	5
k__Bacteria|p__Thermotogae	1
k__Eukaryota	87213
k__Eukaryota|k__Viridiplantae	78899
k__Eukaryota|k__Viridiplantae|p__Streptophyta	78841
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	57
k__Eukaryota|k__Metazoa	6094
k__Eukaryota|k__Metazoa|p__Chordata	6094
k__Eukaryota|k__Fungi	2208
k__Eukaryota|k__Fungi|p__Ascomycota	1977
k__Eukaryota|k__Fungi|p__Basidiomycota	230
k__Eukaryota|p__Bacillariophyta	3
k__Eukaryota|p__Cercozoa	2
k__Eukaryota|p__Apicomplexa	2
k__Eukaryota|p__Evosea	2
k__Eukaryota|p__Euglenozoa	2
k__Archaea	7
k__Archaea|p__Euryarchaeota	6
k__Archaea|p__Crenarchaeota	1
k__Viruses	29
k__Viruses|k__Heunggongvirae	29
k__Viruses|k__Heunggongvirae|p__Uroviricota	29
