#Classification	NS67_bracken_P.kreport
k__Bacteria	2794607
k__Bacteria|p__Firmicutes	2096374
k__Bacteria|p__Actinobacteria	507067
k__Bacteria|p__Bacteroidetes	73835
k__Bacteria|p__Verrucomicrobia	17204
k__Bacteria|p__Proteobacteria	99775
k__Bacteria|p__Candidatus_Saccharibacteria	124
k__Bacteria|p__Fusobacteria	184
k__Bacteria|p__Spirochaetes	25
k__Bacteria|p__Synergistetes	15
k__Archaea	55
k__Archaea|p__Candidatus_Thermoplasmatota	55
k__Eukaryota	9
k__Eukaryota|k__Metazoa	5
k__Eukaryota|k__Metazoa|p__Chordata	5
k__Eukaryota|k__Viridiplantae	4
k__Eukaryota|k__Viridiplantae|p__Streptophyta	4
k__Viruses	5394
k__Viruses|k__Heunggongvirae	5394
k__Viruses|k__Heunggongvirae|p__Uroviricota	5394
