#Classification	S-3-POLPIL-B_bracken_P.kreport
k__Bacteria	39370
k__Bacteria|p__Proteobacteria	26123
k__Bacteria|p__Acidobacteria	7204
k__Bacteria|p__Actinobacteria	3764
k__Bacteria|p__Cyanobacteria	771
k__Bacteria|p__Chloroflexi	11
k__Bacteria|p__Bacteroidetes	1156
k__Bacteria|p__Gemmatimonadetes	66
k__Bacteria|p__Planctomycetes	271
k__Bacteria|p__Verrucomicrobia	1
k__Eukaryota	626
k__Eukaryota|k__Metazoa	453
k__Eukaryota|k__Metazoa|p__Chordata	453
k__Eukaryota|k__Fungi	65
k__Eukaryota|k__Fungi|p__Ascomycota	60
k__Eukaryota|k__Fungi|p__Basidiomycota	4
k__Eukaryota|k__Viridiplantae	107
k__Eukaryota|k__Viridiplantae|p__Streptophyta	107
