#Classification	S-7-POLCOM-B_bracken_P.kreport
k__Bacteria	87027
k__Bacteria|p__Proteobacteria	80588
k__Bacteria|p__Actinobacteria	4385
k__Bacteria|p__Cyanobacteria	20
k__Bacteria|p__Acidobacteria	1523
k__Bacteria|p__Bacteroidetes	459
k__Bacteria|p__Planctomycetes	42
k__Bacteria|p__Verrucomicrobia	7
k__Eukaryota	249
k__Eukaryota|k__Metazoa	161
k__Eukaryota|k__Metazoa|p__Chordata	161
k__Eukaryota|k__Fungi	25
k__Eukaryota|k__Fungi|p__Ascomycota	21
k__Eukaryota|k__Fungi|p__Basidiomycota	4
k__Eukaryota|k__Viridiplantae	61
k__Eukaryota|k__Viridiplantae|p__Streptophyta	61
