#Classification	S-17-POLJUN-G_bracken_O.kreport
k__Bacteria	575382
k__Bacteria|p__Proteobacteria	357992
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	222182
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	147328
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	57401
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	11919
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	3859
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales	1560
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Maricaulales	47
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomonadales	34
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales	7
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Parvularculales	19
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Pelagibacterales	3
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Holosporales	1
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	92126
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	89092
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales	1697
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	637
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales	698
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	41793
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	13828
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	10085
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	15350
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales	469
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales	327
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Nevskiales	651
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Methylococcales	80
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales	69
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	237
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales	29
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales	545
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cellvibrionales	39
