name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Gilliamella apis	1970738	S	980	1097	2077	0.12731
Gilliamella apicola	1196095	S	282	1053	1335	0.08183
Gilliamella sp. wkB7	3120264	S	72	322	394	0.02415
Frischella perrara	1267021	S	936	1261	2197	0.13466
Citrobacter braakii	57706	S	2	128	130	0.00797
Klebsiella oxytoca	571	S	4	55	59	0.00362
Escherichia coli	562	S	1	231	232	0.01422
Morganella morganii	582	S	7	48	55	0.00337
Hafnia paralvei	546367	S	1	8	9	0.00055
Snodgrassella alvi	1196083	S	1835	1826	3661	0.22439
Delftia sp. KV29	1170710	S	1	854	855	0.05241
Bartonella apihabitans	2750929	S	387	253	640	0.03923
Bartonella choladocola	2750995	S	145	170	315	0.01931
Commensalibacter melissae	2070537	S	282	139	421	0.02580
Parabacteroides merdae	46503	S	1	1	2	0.00012
Lactobacillus apis	303541	S	1395	454	1849	0.11333
Lactobacillus sp. IBH004	2879107	S	277	343	620	0.03800
Lactobacillus sp. wkB8	1545702	S	2	39	41	0.00251
Lactobacillus kullabergensis	1218493	S	136	200	336	0.02059
Lactobacillus helsingborgensis	1218494	S	33	317	350	0.02145
Lactobacillus amylovorus	1604	S	5	25	30	0.00184
Lactobacillus panisapium	2012495	S	4	1	5	0.00031
Lactobacillus kimbladii	1218506	S	2	46	48	0.00294
Limosilactobacillus fermentum	1613	S	31	193	224	0.01373
Limosilactobacillus mucosae	97478	S	4	19	23	0.00141
Apilactobacillus kunkeei	148814	S	34	25	59	0.00362
Bombilactobacillus mellifer	1218492	S	8	10	18	0.00110
Bombilactobacillus bombi	1303590	S	1	0	1	0.00006
Bifidobacterium coryneforme	1687	S	110	57	167	0.01024
Bifidobacterium asteroides	1684	S	70	11	81	0.00496
Rhodococcoides fascians	1828	S	1	2	3	0.00018
Spiroplasma apis	2137	S	9	2	11	0.00067
Apis mellifera filamentous virus	1100043	S	52	0	52	0.00319
