#Classification	GQ10_bracken_C.kreport
k__Bacteria	18829325
k__Bacteria|p__Firmicutes	8289027
k__Bacteria|p__Firmicutes|c__Negativicutes	4937284
k__Bacteria|p__Firmicutes|c__Bacilli	3261883
k__Bacteria|p__Firmicutes|c__Clostridia	80441
k__Bacteria|p__Firmicutes|c__Tissierellia	8085
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	1333
k__Bacteria|p__Actinobacteria	1435952
k__Bacteria|p__Actinobacteria|c__Actinomycetia	1417294
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	18240
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia	8
k__Bacteria|p__Actinobacteria|c__Rubrobacteria	3
k__Bacteria|p__Actinobacteria|c__Nitriliruptoria	2
k__Bacteria|p__Actinobacteria|c__Thermoleophilia	403
k__Bacteria|p__Tenericutes	317
k__Bacteria|p__Tenericutes|c__Mollicutes	317
k__Bacteria|p__Chloroflexi	33
k__Bacteria|p__Chloroflexi|c__Anaerolineae	15
k__Bacteria|p__Chloroflexi|c__Dehalococcoidia	5
k__Bacteria|p__Chloroflexi|c__Ktedonobacteria	5
k__Bacteria|p__Chloroflexi|c__Caldilineae	4
k__Bacteria|p__Chloroflexi|c__Thermomicrobia	2
k__Bacteria|p__Chloroflexi|c__Ardenticatenia	1
k__Bacteria|p__Deinococcus-Thermus	25
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci	25
k__Bacteria|p__Cyanobacteria	9
k__Bacteria|p__Cyanobacteria|c__Gloeobacteria	9
k__Bacteria|p__Armatimonadetes	1
k__Bacteria|p__Armatimonadetes|c__Fimbriimonadia	1
k__Bacteria|p__Bacteroidetes	5126890
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	4707705
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	417308
k__Bacteria|p__Bacteroidetes|c__Cytophagia	812
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	339
k__Bacteria|p__Bacteroidetes|c__Chitinophagia	725
k__Bacteria|p__Rhodothermaeota	80
k__Bacteria|p__Rhodothermaeota|c__Rhodothermia	80
k__Bacteria|p__Chlorobi	8
k__Bacteria|p__Chlorobi|c__Chlorobia	8
k__Bacteria|p__Ignavibacteriae	2
k__Bacteria|p__Ignavibacteriae|c__Ignavibacteria	2
k__Bacteria|p__Fibrobacteres	10
k__Bacteria|p__Fibrobacteres|c__Fibrobacteria	10
k__Bacteria|p__Proteobacteria	3009077
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	1254731
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	614423
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	369927
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	317
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	1737
k__Bacteria|p__Proteobacteria|c__Oligoflexia	42
k__Bacteria|p__Proteobacteria|c__Acidithiobacillia	3
k__Bacteria|p__Proteobacteria|c__Hydrogenophilalia	767895
k__Bacteria|p__Candidatus_Saccharibacteria	443026
