#Classification	GQ25_bracken_P.kreport
k__Bacteria	1500788
k__Bacteria|p__Firmicutes	713337
k__Bacteria|p__Actinobacteria	179367
k__Bacteria|p__Tenericutes	22
k__Bacteria|p__Deinococcus-Thermus	5
k__Bacteria|p__Bacteroidetes	366593
k__Bacteria|p__Proteobacteria	211784
k__Bacteria|p__Fusobacteria	27496
k__Bacteria|p__Spirochaetes	1276
k__Bacteria|p__Candidatus_Saccharibacteria	903
k__Eukaryota	8651
k__Eukaryota|k__Metazoa	7170
k__Eukaryota|k__Metazoa|p__Chordata	7170
k__Eukaryota|k__Fungi	128
k__Eukaryota|k__Fungi|p__Basidiomycota	86
k__Eukaryota|k__Fungi|p__Ascomycota	41
k__Eukaryota|k__Viridiplantae	1352
k__Eukaryota|k__Viridiplantae|p__Streptophyta	1352
k__Viruses	33
k__Viruses|k__Heunggongvirae	33
k__Viruses|k__Heunggongvirae|p__Uroviricota	29
k__Viruses|k__Heunggongvirae|p__Peploviricota	4
