#Classification	SRR20002377_bracken_C.kreport
k__Bacteria	268281
k__Bacteria|p__Firmicutes	185353
k__Bacteria|p__Firmicutes|c__Bacilli	185129
k__Bacteria|p__Firmicutes|c__Clostridia	211
k__Bacteria|p__Firmicutes|c__Negativicutes	12
k__Bacteria|p__Actinobacteria	15365
k__Bacteria|p__Actinobacteria|c__Actinomycetia	15296
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	69
k__Bacteria|p__Deinococcus-Thermus	47
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci	47
k__Bacteria|p__Proteobacteria	67257
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	61082
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	4651
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	1510
k__Bacteria|p__Proteobacteria|c__Hydrogenophilalia	8
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	3
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	1
k__Bacteria|p__Bacteroidetes	247
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	241
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	5
k__Bacteria|p__Verrucomicrobia	5
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	5
k__Bacteria|p__Chlamydiae	4
k__Bacteria|p__Chlamydiae|c__Chlamydiia	4
k__Bacteria|p__Fusobacteria	1
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	1
k__Eukaryota	3235
k__Eukaryota|k__Metazoa	2746
k__Eukaryota|k__Metazoa|p__Chordata	2746
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	2746
k__Eukaryota|k__Fungi	389
k__Eukaryota|k__Fungi|p__Basidiomycota	389
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Malasseziomycetes	389
k__Eukaryota|k__Viridiplantae	80
k__Eukaryota|k__Viridiplantae|p__Streptophyta	80
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	80
k__Eukaryota|p__Apicomplexa	19
k__Eukaryota|p__Apicomplexa|c__Conoidasida	19
k__Viruses	9
k__Viruses|k__Heunggongvirae	9
k__Viruses|k__Heunggongvirae|p__Uroviricota	9
k__Viruses|k__Heunggongvirae|p__Uroviricota|c__Caudoviricetes	9
