#Classification	S-15-POLJUN-G_bracken_P.kreport
k__Bacteria	502177
k__Bacteria|p__Proteobacteria	427942
k__Bacteria|p__Actinobacteria	46143
k__Bacteria|p__Cyanobacteria	14866
k__Bacteria|p__Firmicutes	782
k__Bacteria|p__Deinococcus-Thermus	9
k__Bacteria|p__Armatimonadetes	5
k__Bacteria|p__Chloroflexi	2
k__Bacteria|p__Acidobacteria	8908
k__Bacteria|p__Bacteroidetes	2764
k__Bacteria|p__Planctomycetes	615
k__Bacteria|p__Verrucomicrobia	105
k__Bacteria|p__Chlamydiae	13
k__Bacteria|p__Candidatus_Saccharibacteria	5
k__Bacteria|p__Spirochaetes	12
k__Bacteria|p__Thermotogae	1
k__Eukaryota	94885
k__Eukaryota|k__Viridiplantae	88670
k__Eukaryota|k__Viridiplantae|p__Streptophyta	88599
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	70
k__Eukaryota|k__Metazoa	5029
k__Eukaryota|k__Metazoa|p__Chordata	5029
k__Eukaryota|k__Fungi	1183
k__Eukaryota|k__Fungi|p__Ascomycota	1027
k__Eukaryota|k__Fungi|p__Basidiomycota	156
k__Eukaryota|p__Cercozoa	1
k__Eukaryota|p__Euglenozoa	1
k__Archaea	7
k__Archaea|p__Euryarchaeota	7
