#Classification	SRR5091547_bracken_P.kreport
k__Bacteria	365759
k__Bacteria|p__Firmicutes	150442
k__Bacteria|p__Actinobacteria	36566
k__Bacteria|p__Bacteroidetes	166640
k__Bacteria|p__Fusobacteria	5858
k__Bacteria|p__Proteobacteria	6237
k__Bacteria|p__Verrucomicrobia	8
k__Bacteria|p__Candidatus_Saccharibacteria	4
k__Bacteria|p__Spirochaetes	1
k__Eukaryota	24
k__Eukaryota|k__Viridiplantae	24
k__Eukaryota|k__Viridiplantae|p__Streptophyta	24
k__Viruses	6
k__Viruses|k__Heunggongvirae	6
k__Viruses|k__Heunggongvirae|p__Uroviricota	6
