#Classification	S-1-POLJUN-B_bracken_O.kreport
k__Bacteria	2520322
k__Bacteria|p__Proteobacteria	1900427
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	937492
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	926614
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales	6128
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	1787
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales	2962
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	831744
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	589424
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	167526
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	32046
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	34056
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales	7806
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Maricaulales	385
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomonadales	223
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales	116
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Holosporales	18
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Emcibacterales	40
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Parvularculales	91
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Pelagibacterales	4
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Magnetococcales	3
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	116975
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	49384
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	31794
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	24512
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales	1412
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales	1154
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Methylococcales	304
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Nevskiales	1996
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales	250
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales	334
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	4518
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cellvibrionales	214
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Acidiferrobacterales	78
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Vibrionales	206
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales	437
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Immundisolibacterales	97
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	113
