#Classification	S-14-POLPIL-G_bracken_C.kreport
k__Bacteria	19574
k__Bacteria|p__Proteobacteria	18325
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	15656
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	1789
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	878
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2
k__Bacteria|p__Actinobacteria	439
k__Bacteria|p__Actinobacteria|c__Actinomycetia	439
k__Bacteria|p__Firmicutes	234
k__Bacteria|p__Firmicutes|c__Bacilli	234
k__Bacteria|p__Acidobacteria	440
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	440
k__Bacteria|p__Bacteroidetes	132
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	29
k__Bacteria|p__Bacteroidetes|c__Cytophagia	6
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	96
k__Bacteria|p__Bacteroidetes|c__Chitinophagia	1
k__Bacteria|p__Planctomycetes	2
k__Bacteria|p__Planctomycetes|c__Planctomycetia	2
k__Eukaryota	2451
k__Eukaryota|k__Viridiplantae	2175
k__Eukaryota|k__Viridiplantae|p__Streptophyta	2175
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Bryopsida	2079
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	96
k__Eukaryota|k__Metazoa	275
k__Eukaryota|k__Metazoa|p__Chordata	275
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	275
