#Classification	W-2-POLJUN-G_bracken_P.kreport
k__Bacteria	653427
k__Bacteria|p__Proteobacteria	479765
k__Bacteria|p__Actinobacteria	67406
k__Bacteria|p__Cyanobacteria	2505
k__Bacteria|p__Firmicutes	8930
k__Bacteria|p__Deinococcus-Thermus	62
k__Bacteria|p__Tenericutes	62
k__Bacteria|p__Chloroflexi	14
k__Bacteria|p__Armatimonadetes	7
k__Bacteria|p__Bacteroidetes	63894
k__Bacteria|p__Rhodothermaeota	32
k__Bacteria|p__Chlorobi	1
k__Bacteria|p__Gemmatimonadetes	36
k__Bacteria|p__Acidobacteria	29873
k__Bacteria|p__Planctomycetes	489
k__Bacteria|p__Verrucomicrobia	156
k__Bacteria|p__Chlamydiae	14
k__Bacteria|p__Kiritimatiellaeota	1
k__Bacteria|p__Spirochaetes	139
k__Bacteria|p__Thermotogae	28
k__Bacteria|p__Nitrospirae	2
k__Bacteria|p__Fusobacteria	2
k__Eukaryota	311329
k__Eukaryota|k__Viridiplantae	282570
k__Eukaryota|k__Viridiplantae|p__Streptophyta	282112
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	457
k__Eukaryota|k__Metazoa	24697
k__Eukaryota|k__Metazoa|p__Chordata	24697
k__Eukaryota|k__Fungi	3911
k__Eukaryota|k__Fungi|p__Ascomycota	3656
k__Eukaryota|k__Fungi|p__Basidiomycota	255
k__Eukaryota|p__Bacillariophyta	59
k__Eukaryota|p__Cercozoa	33
k__Eukaryota|p__Apicomplexa	26
k__Eukaryota|p__Euglenozoa	29
k__Eukaryota|p__Rhodophyta	1
k__Archaea	43
k__Archaea|p__Euryarchaeota	41
k__Archaea|p__Candidatus_Thermoplasmatota	1
k__Archaea|p__Crenarchaeota	1
k__Viruses	12
k__Viruses|k__Heunggongvirae	10
k__Viruses|k__Heunggongvirae|p__Uroviricota	10
k__Viruses|k__Pararnavirae	1
k__Viruses|k__Pararnavirae|p__Artverviricota	1
k__Viruses|k__Bamfordvirae	1
k__Viruses|k__Bamfordvirae|p__Nucleocytoviricota	1
