#Classification	S-19-POLPIL-G_bracken_C.kreport
k__Bacteria	13498
k__Bacteria|p__Proteobacteria	12637
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	6077
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	6560
k__Bacteria|p__Firmicutes	468
k__Bacteria|p__Firmicutes|c__Bacilli	468
k__Bacteria|p__Actinobacteria	284
k__Bacteria|p__Actinobacteria|c__Actinomycetia	284
k__Bacteria|p__Acidobacteria	86
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	86
k__Bacteria|p__Bacteroidetes	20
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	11
k__Bacteria|p__Bacteroidetes|c__Cytophagia	9
k__Bacteria|p__Planctomycetes	2
k__Bacteria|p__Planctomycetes|c__Planctomycetia	2
k__Eukaryota	2864
k__Eukaryota|k__Viridiplantae	2270
k__Eukaryota|k__Viridiplantae|p__Streptophyta	2270
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Bryopsida	2269
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	1
k__Eukaryota|k__Metazoa	590
k__Eukaryota|k__Metazoa|p__Chordata	590
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	590
k__Eukaryota|k__Fungi	3
k__Eukaryota|k__Fungi|p__Basidiomycota	3
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Ustilaginomycetes	3
