#Classification	S-1-POLJUN-G_bracken_P.kreport
k__Bacteria	103684
k__Bacteria|p__Proteobacteria	101309
k__Bacteria|p__Actinobacteria	1080
k__Bacteria|p__Firmicutes	134
k__Bacteria|p__Cyanobacteria	2
k__Bacteria|p__Acidobacteria	627
k__Bacteria|p__Bacteroidetes	522
k__Bacteria|p__Planctomycetes	6
k__Bacteria|p__Verrucomicrobia	2
k__Eukaryota	1763
k__Eukaryota|k__Viridiplantae	1550
k__Eukaryota|k__Viridiplantae|p__Streptophyta	1550
k__Eukaryota|k__Metazoa	212
k__Eukaryota|k__Metazoa|p__Chordata	212
k__Eukaryota|p__Euglenozoa	1
