feature	Abiotrophia	Acetivibrio	Acetobacterium	Achromobacter	Acidaminococcus	Acidovorax	Acinetobacter	Actinobacillus	Actinomyces	Acutalibacter	Adlercreutzia	Aerococcus	Aeromonas	Aggregatibacter	Agrobacterium	Akkermansia	Alicycliphilus	Alicyclobacillus	Alistipes	Alkalihalobacillus	Alkaliphilus	Amedibacterium	Aminipila	Amniculibacterium	Anaerobutyricum	Anaerococcus	Anaerocolumna	Anaerostipes	Anaerotignum	Anoxybacillus	Arabiibacter	Arachnia	Arcanobacterium	Aromatoleum	Arthrobacter	Asticcacaulis	Atopobium	Auritidibacter	Bacillus	Bacteroides	Barnesiella	Berryella	Bifidobacterium	Blautia	Bordetella	Brachybacterium	Brachyspira	Bradyrhizobium	Brevibacillus	Brevibacterium	Brucella	Bulleidia	Burkholderia	Butyricicoccus	Butyricimonas	Butyrivibrio	Caldibacillus	Caldicellulosiruptor	Caloramator	Caloranaerobacter	Campylobacter	Capnocytophaga	Caproicibacter	Caproicibacterium	Caproiciproducens	Cardiobacterium	Carnobacterium	Cellulosilyticum	Christensenella	Chryseobacterium	Citrobacter	Cloacibacillus	Cloacibacterium	Clostridioides	Clostridium	Collinsella	Comamonas	Companilactobacillus	Coprobacter	Coprococcus	Coriobacterium	Corynebacterium	Crassaminicella	Cruoricaptor	Cryptobacterium	Cupriavidus	Cutibacterium	Cytobacillus	Dehalobacter	Dehalobacterium	Dehalococcoides	Delftia	Denitrobacterium	Dermabacter	Dermacoccus	Desulfitobacterium	Desulfomicrobium	Desulfosporosinus	Desulfotomaculum	Desulfovibrio	Desulfurispirillum	Dialister	Diaphorobacter	Dolosigranulum	Duncaniella	Dysosmobacter	Eggerthella	Eikenella	Enterobacter	Enterocloster	Enterococcus	Epilithonimonas	Erysipelatoclostridium	Erysipelothrix	Escherichia	Ethanoligenens	Eubacterium	Evansella	Exiguobacterium	Ezakiella	Faecalibacillus	Faecalibacterium	Faecalibaculum	Faecalicatena	Faecalitalea	Fannyhessea	Fastidiosipila	Fibrobacter	Filifactor	Finegoldia	Flavobacterium	Flavonifractor	Flintibacter	Fretibacterium	Fusobacterium	Gardnerella	Gemella	Gemmatimonas	Geoalkalibacter	Geobacter	Geosporobacter	Gordonia	Gordonibacter	Gottschalkia	Granulicatella	Haemophilus	Halomonas	Halopseudomonas	Haploplasma	Hathewaya	Helcococcus	Helicobacter	Heliomicrobium	Herbinix	Heyndrickxia	Histophilus	Hungatella	Hydrogenophaga	Intestinibaculum	Intestinimonas	Jeotgalibaca	Jiangella	Jonquetella	Kingella	Klebsiella	Kocuria	Komagataeibacter	Laceyella	Lachnoanaerobaculum	Lachnoclostridium	Lachnospira	Lacrimispora	Lacticaseibacillus	Lactiplantibacillus	Lactobacillus	Lactococcus	Lancefieldella	Latilactobacillus	Lautropia	Lawsonella	Lawsonia	Leclercia	Lentilactobacillus	Leptospirillum	Leptotrichia	Leuconostoc	Levilactobacillus	Ligilactobacillus	Limnochorda	Limosilactobacillus	Liquorilactobacillus	Listeria	Loigolactobacillus	Longibaculum	Longicatena	Lysinibacillus	Macrococcus	Mageeibacillus	Mameliella	Mammaliicoccus	Massilistercora	Mediterraneibacter	Megamonas	Megasphaera	Meiothermus	Mesorhizobium	Metabacillus	Methylibium	Methylobacterium	Methylomusa	Methylorubrum	Microbacterium	Miniimonas	Minimicrobia	Mobiluncus	Mogibacterium	Monoglobus	Moorella	Moraxella	Murdochiella	Muribaculum	Mycobacterium	Mycolicibacterium	Mycoplasma	Nanosynbacter	Ndongobacter	Neisseria	Neobacillus	Niallia	Nocardioides	Novisyntrophococcus	Novosphingobium	Oceanithermus	Odoribacter	Oleidesulfovibrio	Olsenella	Ornithobacterium	Oscillibacter	Ottowia	Paenibacillus	Paeniclostridium	Pandoraea	Pantoea	Parabacteroides	Paraburkholderia	Paraclostridium	Parafannyhessea	Paraprevotella	Parascardovia	Parolsenella	Parvimonas	Pasteurella	Paucilactobacillus	Pauljensenia	Pediococcus	Pedobacter	Peptacetobacter	Peptoclostridium	Peptoniphilus	Peribacillus	Petrimonas	Petrocella	Phascolarctobacterium	Phocaeicola	Phoenicibacter	Phytoplasma	Porphyromonas	Pradoshia	Prevotella	Priestia	Propionibacterium	Propionimicrobium	Pseudoalteromonas	Pseudobutyrivibrio	Pseudoclostridium	Pseudodesulfovibrio	Pseudomonas	Pseudoprevotella	Pusillimonas..ex.Kitahara.et.al..2021.	Ralstonia	Raoultella	Rhizobium	Rhodocaloribacter	Rhodococcus	Romboutsia	Roseburia	Rothia	Ruminiclostridium	Ruminococcus	Ruthenibacterium	Saccharibacillus	Saccharimonas	Saccharothrix	Salmonella	Sarcina	Scardovia	Schaalia	Schleiferilactobacillus	Sedimentibacter	Sedimenticola	Selenomonas	Serpentinicella	Serratia	Shigella	Slackia	Sneathia	Sodaliphilus	Sodalis	Solibaculum	Solidesulfovibrio	Sorangium	Sphingobacterium	Sphingobium	Sphingomonas	Sporomusa	Sporosarcina	Staphylococcus	Staphylospora	Stenotrophomonas	Steroidobacter	Streptobacillus	Streptococcus	Streptomyces	Succinivibrio	Suicoccus	Sulfurovum	Sutterella	Symbiobacterium	Syntrophobotulus	Tannerella	Tepidanaerobacter	Terrisporobacter	Tetragenococcus	Thalassotalea	Thermincola	Thermoactinomyces	Thermoanaerobacter	Thermoanaerobacterium	Thermobacillus	Thermoclostridium	Thermophilibacter	Thermosipho	Thermus	Tissierella	Treponema	Trueperella	Tumebacillus	Turicibacter	Turicimonas	Ureibacillus	Vagococcus	Vallitalea	Veillonella	Vescimonas	Vibrio	Weissella	Weizmannia	Xanthomonas
NS10	1	0	0	0	2834	17	93	0	107	93	1824	0	22	0	0	818	0	0	2217	0	0	723	7	0	301386	35	19	195480	88	15	9	43	1	3	0	0	0	0	129	27776	20	644	1104088	830359	0	0	0	0	0	0	0	0	0	722	24	141	0	0	0	0	6208	0	17	19	7	0	5	19	1250	0	0	1	6	19716	70144	1171791	0	0	10	737927	0	30	0	0	2	0	4	6	0	0	3	0	5	0	0	0	0	0	3	9	0	1220	0	13	2	16574	4221	0	0	12372	7155	0	5652	0	14534	8	5546	0	0	2	9163	788148	45	3364	33058	32	0	1	173	143	0	7236	4913	2	27	0	97	0	0	3	0	0	13333	0	51	6	0	0	0	0	0	0	15	5	0	0	147	0	100	2350	0	0	0	0	0	0	129	1	270	41082	11829	3705	5	268	42	2802	0	42	0	3	0	0	0	0	0	3	0	66	0	3	0	2	0	9306	9142	0	0	191	0	0	1216	603554	6	72967	0	0	0	0	0	0	0	9	0	43	0	78	166	2	0	44	1	0	0	0	48	3	0	21	0	0	889	0	0	155	0	305	1	9004	0	40	66	0	0	10645	0	3	36	2095	2	445	7	0	0	3	0	0	43	0	45	0	0	10	2589	78931	55	0	4	3	63300	0	11	24	0	157	0	0	31	0	7372	0	0	23	0	0	1310	78691	9	1	806	19122	0	0	0	300	0	0	156	0	0	0	11	0	0	0	13	0	1	0	423	0	0	0	0	0	4	0	74	0	0	0	0	6830	0	0	0	0	124	0	0	3	0	0	0	0	0	0	0	1	0	0	16	0	0	4	183	1	0	116	0	0	0	3	35	13423	0	6	0	2
NS11	8	0	0	0	4036	10	0	0	104	89	731	0	34	14	0	36500	0	1	162331	0	0	385	4	0	43564	2	4	44995	1	0	6	11	0	1	0	0	0	0	43	2725457	390	164	371556	51885	0	0	0	0	0	0	0	0	0	465	17084	31	23	0	0	0	1169	4	5	19	7	0	0	1	2016	1	6	2	28	2410	18922	95912	0	0	17	69856	2	10	1	0	0	0	4	0	0	0	4	743	1	0	0	0	1	0	0	424	0	79	0	0	312	41176	2861	0	243	8190	4064	10	1521	0	56106	23	3822	0	0	0	687	682205	6	1310	8745	4	1	0	25	17	0	7548	12650	1	4	0	225	0	0	1	0	0	1408	0	38	648	0	0	0	0	0	0	17	0	0	0	291	0	147	1740	0	0	0	0	25	0	114	0	74	2849	5218	2795	0	125	18	2855	0	0	12	0	0	0	0	0	0	5	0	19943	3	29	0	0	0	1686	509	0	0	161	0	0	431	61912	17	602876	0	0	0	0	0	0	0	0	0	24	0	59	167	0	0	30	17	0	0	0	9	25	8	3	0	0	137	0	0	66148	0	30	1	9320	0	6	3	0	0	1120542	0	2	10	862	0	119	22	0	0	2	1	0	32	0	5	0	0	0	59167	2468924	2	0	19	0	3466297	0	1	16	0	72	0	3	11501	0	3555	0	0	35	0	0	607	30549	44	3	1813	48195	0	0	2	0	0	0	64	1	0	0	30	0	0	17	2	0	2533	0	929	0	1	2	0	0	0	0	24	0	0	1	0	8875	0	0	0	0	6542	0	0	18	0	0	1	0	0	0	0	0	0	0	3	0	0	2	217	0	0	113	7	0	0	0	76	27633	0	14	0	2
NS13	4	0	0	0	5	36	87	0	286	206	12	0	75	0	0	413	0	0	240870	3	1	1213	4	0	1583978	1419	5	1787291	10	14	15	54	0	5	0	0	0	0	223	2948867	20	1	2926	2104775	0	2	0	0	0	0	0	24	0	430	2328	72	0	0	0	1	607	80	6	5	2	0	1	8	1128	30	0	5	1001	206019	51657	216	0	0	57	376591	0	52	0	21	1	0	1	5	7	0	1	0	0	0	0	0	0	0	0	0	0	46	0	0	0	15446	80269	0	0	13865	4702	0	37577	0	210	1	5192	0	0	105	11366	908578	92	9602	6087	42	7	0	3	1203	0	31280	519	4	113	0	242	1	0	0	0	0	1196	1	53	115	0	0	0	0	1	0	0	0	0	0	4615	0	523	644	0	1	0	0	0	0	358	0	429	46767	10664	13657	3	187	177	1550	0	0	0	27	0	0	0	0	49	0	0	248	0	0	0	4	0	11121	891	0	0	336	0	0	8528	122418	17	14	0	0	0	0	3	0	0	2	0	0	0	103	17021	1	0	53	0	146	0	0	13	30	12	35	0	0	895	0	0	1330	0	10	30	12056	0	0	1	0	0	16709	0	1	1	848	12	4	5	0	1	3	1	0	14	0	113	0	0	107	184	780136	2	0	44	0	2047	0	0	10	0	161	0	0	80	1	1244	0	0	0	0	4	75	88104	13	0	1278	5184	0	1	5	0	0	0	241	0	0	0	1	0	0	0	2	0	4	0	814	0	0	0	0	46	0	0	38	0	14	4	0	49618	0	4	0	0	18	0	1	1	0	0	0	0	0	0	0	0	0	0	4	0	0	46	588	1	0	3887	0	21	2	2	329	10411	0	4	2	0
NS21	35	2	6	0	22	2	903	0	385	156	4	2	0	48	0	721	0	0	1672	0	0	561	270	0	69418	28	15	821978	4	0	0	81	2	0	0	8	4	0	83	4165338	2	0	36649	287609	0	0	0	0	0	0	0	2	0	1251	97309	73	0	0	0	0	4797	0	4	21	3	3	0	44	624	1	24	1	11	17717	60399	288	0	0	17	172023	0	1932	0	0	0	0	6	0	0	0	64	0	0	0	0	0	0	0	0	47	0	484	100	0	49	39904	21347	8	0	47146	2398	0	9729	0	75717	3	1840	0	22	12	1806	3536290	17	7277	2529	67	0	0	7	1	0	459427	631	0	32	9	578	0	0	0	0	2	56	1	73	2680	0	0	0	0	0	0	13	0	0	0	446	10	84	1549	0	0	0	0	185	0	86	0	236	7584	8769	5985	13	28	11	739	1	3	20	0	1	0	0	8	2	13	0	215	1	5	0	0	0	3140	29600	0	0	363	14	0	3228	341053	7	98	0	0	0	0	0	4	0	1	0	138	0	79	300	1	0	11	6	633	0	0	49	0	8	9	0	0	105	0	1	1075	0	50	0	44554	0	24	10	0	0	241243	0	6	1	80	0	0	5	0	0	25	1	0	41	1	4	0	0	12	251	4869838	5	0	6	0	1819	0	0	79	0	297	0	0	55	4	1299	1	0	0	0	0	532	1584002	65	0	23103	51663	0	0	1	0	1	0	147	0	0	0	4	0	0	67	0	0	1	0	534	0	0	0	0	0	0	0	0	0	0	0	36	68645	0	0	0	0	8	0	0	1	0	0	0	0	0	0	0	0	0	1	4	0	0	0	503	2	0	89	0	0	0	0	94436	3427	0	2	0	0
NS25	1	5	1	0	53884	0	25	0	56	318	5	0	27	0	0	488	0	0	23860	0	0	2087	3	0	79747	29	11	269098	1911	0	1	218	1	0	1	0	4	0	36	7252669	1828	0	100961	235301	0	0	1	0	0	0	0	9	0	762	8577	104	0	0	0	0	63225	0	6	28	28	6	0	12	1448	0	0	0	5	23403	86879	176	0	0	41	245623	0	0	0	62	0	0	6	5	1	0	28	0	0	0	0	7	5	9	2	646	0	59	0	5	50	108540	12315	0	0	73533	118726	0	20858	0	1582	4	20357	0	0	1	19430	5083930	546	6357	2195	336	2	0	5	80	0	1090070	5001	0	105	0	60	0	0	6	0	0	737	0	4	271	0	3	0	0	0	0	8	7	0	0	1175	0	82	10538	0	0	0	0	0	0	694	0	422	33503	7074	10144	0	308	3	471	0	0	5	0	2	0	0	13	37	32	1	106	0	1	0	0	0	17371	2198	0	0	36	0	0	1789	391357	10	665	0	0	0	0	0	0	0	0	0	40	0	4	459411	0	0	49	276	114	0	0	38	2	1	81	0	0	438	0	0	20191	0	20	1	78381	0	30	90	0	0	385416	0	17	0	2686	0	31	337	0	0	0	0	0	53	0	12	0	0	0	398307	5833275	11	0	34	0	1591	0	0	125	0	189	0	4	7125	465	30600	0	0	0	0	0	5107	137694	18	0	847	32572	0	0	4	64	0	0	8	0	0	0	2	0	0	0	0	0	18	0	27555	5	0	0	88	0	0	0	21	0	0	1	0	4763	0	0	0	0	5919	0	0	38	0	0	0	0	0	0	0	0	0	1	8	0	0	3	569	0	7	1875	71	0	0	0	161	7296	0	3	0	0
NS27	87	0	1	0	463	0	0	34	172	226	2038	0	50	56	0	122974	0	0	143451	0	0	652	10	0	401972	32	9	849040	17	2	13	36	0	0	0	0	0	0	99	2076114	207	90	2307866	273239	0	0	8	0	0	0	0	1	0	26	451	81	0	0	0	0	10460	0	36	18	36	2	0	4	2376	0	112	0	26	4633	49678	102817	17	0	5	125417	2	9	0	796	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	111504	0	1	6	42601	2396	5	0	6184	1238	0	9639	1	466	7	7866	0	0	0	1676	2169239	58	6478	77187	24	2	0	0	12	0	5149	386	0	17	1	215	3	0	0	0	0	1702	1	54	8990	0	0	0	1	1	0	0	9	0	0	37	0	221	1898	2	0	0	0	0	0	260	0	346	3408	21529	8539	89	59	5081	1509	4	0	0	0	0	0	0	0	4	4	0	83	0	1	0	0	0	1663	1505	12	2	234	0	21	1708	111725	4	1895	0	0	17	0	0	0	0	0	0	24	0	91	520	0	0	35	4	8	0	0	18	1	14	13	0	0	294	0	0	27	0	7887	0	4778	1	11	57	0	0	245465	0	12	13	11601	0	108	62	0	0	7	0	0	15	0	9	5	0	10	107	1370835	20	0	86	0	570	0	2	1	0	211	0	0	6	1	5515	0	0	0	0	0	9199	387840	13	0	267040	2189	0	0	1	0	1390	0	70	0	0	0	5	0	0	0	3	0	1	0	459	0	0	2	0	0	0	0	124	0	3	0	0	268911	0	0	0	0	1349	0	0	2	0	0	0	1	0	0	0	0	0	1	3	0	0	24	337	5	0	207	3	0	0	0	5681	28981	0	0	1	0
NS28	4	0	4	0	721	0	250	434	140	386	862	0	43	7	0	1046278	0	0	261773	0	0	833	31	0	181883	256	26	206313	15	35	3	4	0	0	0	0	1	0	63	882616	1656	56	316012	96985	0	3	670	0	5	0	0	1	0	131	7122	112	0	0	0	0	45208	9	11	30	16	0	0	15	1210	0	0	18	22	14379	36591	16580	0	0	84	261285	1	345	0	399	0	0	4	2	0	0	0	0	1	0	0	5	0	0	0	35	0	413384	0	69	6	43170	894	0	0	5231	2483	0	2018	1	34178	11	3239	0	0	83	17943	2345955	37	1851	2584	17	32	0	5	180	28	5098	418	5	1260	1	51	0	0	0	0	0	175	2	39	4910	4	2	0	1	9	1	0	220	0	1	82	16	86	7801	7	0	0	0	0	0	48	0	293	4382	55106	15851	860	93	231	3193	1	0	0	112	1	0	0	1	3	0	0	271	1	2	0	0	0	16630	1285	0	0	255	0	84	913	59732	10	907	0	0	0	0	0	0	0	0	0	67	27	58	316	0	0	29	20	2441	0	0	33	12	15	13	2	0	269	0	1	35251	0	11384	0	23372	0	21062	6	0	0	482868	0	1	6	7614	0	49	48	0	0	1	1	0	13	1	147	0	0	2	78271	177161	18	0	924	0	4208209	0	2	29	0	158	0	0	37	5	9115	0	0	0	45	0	378	266444	17	0	13542	8270	0	0	0	0	646	1	681	0	2	0	4	0	0	0	8	0	3423	0	969	0	0	0	43	83	2	0	42	0	0	1	0	34468	0	0	0	0	36412	0	0	7	0	0	0	3	0	0	0	0	0	0	2	0	0	3	330	11	0	473	5	2	12	10	3026	36580	2	9	0	0
NS29	3	0	0	0	5350	0	0	0	445	165	16	0	0	1	0	403	0	0	67818	26	0	12416	90	0	18082	74	35	532382	3	0	7	57	0	0	0	0	1	0	152	466714	62	97	3528409	303010	0	0	0	0	9	0	0	25	0	10	20	35	0	42	0	4	6961	0	3	21	8	0	0	6	8457	2	0	13	0	61376	426261	25963	0	0	28	73926	11	48	0	19	0	0	5	63	4	0	2	0	0	0	2	0	0	1	0	40	0	521	0	0	3	37043	193248	0	0	235930	15143	0	143786	0	3341	7	162048	0	0	10	3026	1355281	7	12207	9511	1	0	0	23	74	0	70210	344	0	416	3	433	0	0	0	0	0	15200	3	63	62	0	0	0	6	3	0	0	2	9	0	48794	0	125	3857	45	3	2	0	0	0	10	0	266	381876	15083	347410	74	128	135	28164	6	25	3	0	0	0	0	0	2	478	0	807	0	62	2	0	0	5713	561265	13	3	30	0	0	2113	272367	136	144	0	63	0	0	0	0	0	0	0	153	2	1811	76151	2	31	20	3	269	0	0	46	0	6	20	0	0	485	0	0	32	0	281	1	54612	0	35	235	0	0	6699	0	108	24	760	0	182	3522	0	0	7	4	3	184	0	28	10	0	52	47	841768	1	0	15	0	2921	0	0	38	1	87	0	0	14	0	10144	22	0	0	0	12	64254	250017	38	37	4250	593772	0	0	0	0	73	0	997	0	0	0	5	0	0	0	0	0	0	0	6838	0	0	0	0	0	3	0	107	0	0	0	0	70357	0	0	0	0	3	2	0	6	2	0	0	0	0	0	33	8	0	0	24	0	1	0	218	28	0	1978	0	0	0	4	415	5798	0	8	1	4
NS30	84	0	0	0	1159	5	129	0	891	19	12	0	24	0	0	840	0	0	14466	26	5	8497	106	0	382874	201	28	433090	2	13	3	269	3	0	0	0	0	5	492	575113	2	45	1366632	909821	6	0	1	0	0	2	0	1	0	8	17	333	0	0	0	3	5866	0	1	3	0	3	0	18	664	0	0	0	9	88615	165175	30305	0	0	20	237075	17	19	0	0	0	28	4	4	4	0	0	0	0	0	0	0	0	0	0	14	1	124	102	33	6	9678	40167	0	7	48999	30899	0	31239	0	772277	0	16298	0	36	563	1988	1887842	61	4461	5727	64	3	0	857	114	0	5364	584	0	79	2	632	0	0	23	0	0	6440	0	302	11	0	0	0	0	1	0	9	8	0	0	360	0	3822	328	6	0	0	0	59	0	560	0	499	18514	16915	17293	198	6	88	1200	58	0	0	0	1	0	9	0	3	12	0	4021	0	5	1	0	0	2929	43576	0	0	149	0	0	2925	1981504	85	75	0	31	0	0	101	0	0	0	0	3840	2	202	8277	0	4	28	12	2416	0	0	1232	2	4	9	0	0	283	0	0	111	0	251	0	23129	0	0	123	0	0	4091	3	36	26	96	0	167	308	0	1	6	0	0	308	1	108	4	1	60	58	101731	76	0	11	0	7553	0	1	4	0	1521	0	0	35	0	1176	56	0	0	0	0	13065	2768823	53	0	2796	3842	0	2	0	25	219	3	776	0	0	0	2	0	0	652	0	0	0	0	1450	0	0	0	19	0	1	0	106	1	0	0	0	60687	0	0	2	17	23	0	0	4	0	0	0	0	0	5	0	0	0	0	38	1	0	13	1506	2	0	358	1191	0	0	2	944	7035	7	181	0	0
NS32	1	0	0	0	6	36	127	0	133	563	1522	0	67	0	0	71799	0	0	152337	16	5	961	24	0	169696	95	17	45595	57	0	6	24	0	0	0	0	2	0	45	1225784	191	48	212298	134387	0	0	283	0	0	0	0	1	0	114	23340	135	0	3	0	0	22607	1	7	66	12	0	0	16	1692	0	1	17	12	6091	113044	44450	0	0	837	1542158	0	76	0	50	0	0	3	0	0	2	2	0	13	0	0	2	2	0	1	7990	0	2622	0	2	51	65144	646	0	0	19388	7987	0	4015	0	43867	23	6604	0	0	46	2775	2817680	177	4983	4254	41	3	0	35	41	2	7777	600	4	5	3314	328	0	2	0	0	0	3792	0	17	144	0	0	0	2	4	0	7	6	0	0	176	3	62	8166	0	0	0	0	0	0	547	1	96	8056	34336	7464	0	660	42	557	0	27	2	0	4	0	0	0	3	81	0	79515	1	190	1	0	0	3272	695	20	0	590	0	30	2623	188723	27	78	0	38	0	0	0	0	0	0	2	235	35	102	226	0	0	120	39	783	0	0	77	3	3	0	5	0	230	0	0	40608	2	22	1	38391	3	26	11	0	0	136913	0	5	5	1017	1	63	31	0	0	13	10	1	66	8	16	0	335	6	23716	559732	10	0	317	0	1689981	20	1	23	0	241	0	5	19	2	10176	18	0	0	0	0	2132	307847	28	20	138879	32238	0	1	0	0	32	0	350	0	0	5	15	0	0	80	3	0	887	0	7730	1	0	4	0	16	10	0	39	3	0	0	65	21607	4	0	0	0	10240	1	0	32	4	0	0	0	0	0	0	0	4	0	2	0	0	2	559	1	0	528	30	0	0	2	407	54144	0	0	8	0
