name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Nostoc sp029379225	96890	S	1	20	21	0.02011
Nostoc sp026127265	96888	S	1	151	152	0.14559
Stigonema ocellatum	96939	S	2	409	411	0.39368
Stigonema sp903903925	96940	S	1	6	7	0.00670
Methylobacterium sp022829385	118327	S	2	28	30	0.02874
Lichenihabitans minor	118234	S	1	14	15	0.01437
Acidisoma sp019351895	113616	S	1	6	7	0.00670
Novosphingobium sp903970225	124574	S	1	10	11	0.01054
Caballeronia sp001557535	126764	S	1	30	31	0.02969
Dyella_B sp903970555	140509	S	1	16	17	0.01628
UBA5158 sp903970525	132093	S	1	2	3	0.00287
Bog-1198 sp003137095	139643	S	1	113	114	0.10920
Palsa-1515 sp903970385	102220	S	10	186	196	0.18774
Acidisarcina polymorpha	40108	S	1	4	5	0.00479
Acidoferrum sp003161195	39724	S	1	2	3	0.00287
Gemmata tundricola	112182	S	1	2	3	0.00287
Mycobacterium madagascariense	46516	S	1	10	11	0.01054
