feature	Abiotrophia	Acetivibrio	Acetobacterium	Achromobacter	Acidaminococcus	Acidovorax	Acinetobacter	Actinobacillus	Actinomyces	Acutalibacter	Adlercreutzia	Aerococcus	Aeromonas	Aggregatibacter	Agrobacterium	Akkermansia	Alicycliphilus	Alistipes	Alkalihalobacillus	Alkaliphilus	Amedibacterium	Aminipila	Anaerobutyricum	Anaerococcus	Anaerocolumna	Anaerostipes	Anaerotignum	Anoxybacillus	Arabiibacter	Arachnia	Arcanobacterium	Aromatoleum	Arthrobacter	Atopobium	Bacillus	Bacteroides	Barnesiella	Berryella	Bifidobacterium	Blautia	Bordetella	Brachyspira	Bradyrhizobium	Brevibacillus	Brevibacterium	Brucella	Bulleidia	Burkholderia	Butyricicoccus	Butyricimonas	Butyrivibrio	Caldibacillus	Caldicellulosiruptor	Caloramator	Caloranaerobacter	Campylobacter	Capnocytophaga	Caproicibacter	Caproicibacterium	Caproiciproducens	Cardiobacterium	Carnobacterium	Cellulosilyticum	Christensenella	Chryseobacterium	Citrobacter	Cloacibacillus	Cloacibacterium	Clostridioides	Clostridium	Collinsella	Comamonas	Companilactobacillus	Coprobacter	Coprococcus	Coriobacterium	Corynebacterium	Crassaminicella	Cruoricaptor	Cryptobacterium	Cupriavidus	Cutibacterium	Cytobacillus	Dehalobacter	Dehalobacterium	Dehalococcoides	Delftia	Denitrobacterium	Dermabacter	Dermacoccus	Desulfitobacterium	Desulfomicrobium	Desulfosporosinus	Desulfotomaculum	Desulfovibrio	Dialister	Diaphorobacter	Dolosigranulum	Duncaniella	Dysosmobacter	Eggerthella	Eikenella	Enterobacter	Enterocloster	Enterococcus	Epilithonimonas	Erysipelatoclostridium	Erysipelothrix	Escherichia	Ethanoligenens	Eubacterium	Evansella	Exiguobacterium	Ezakiella	Faecalibacillus	Faecalibacterium	Faecalibaculum	Faecalicatena	Faecalitalea	Fannyhessea	Fastidiosipila	Filifactor	Finegoldia	Flavobacterium	Flavonifractor	Flintibacter	Fretibacterium	Fusobacterium	Gardnerella	Gemella	Gemmatimonas	Geobacter	Gordonia	Gordonibacter	Gottschalkia	Granulicatella	Haemophilus	Halopseudomonas	Hathewaya	Helcococcus	Helicobacter	Heliomicrobium	Herbinix	Histophilus	Hungatella	Hydrogenophaga	Intestinibaculum	Intestinimonas	Jeotgalibaca	Jonquetella	Klebsiella	Kocuria	Komagataeibacter	Lachnoanaerobaculum	Lachnoclostridium	Lachnospira	Lacrimispora	Lacticaseibacillus	Lactiplantibacillus	Lactobacillus	Lactococcus	Lancefieldella	Latilactobacillus	Lautropia	Lawsonella	Lawsonia	Lentilactobacillus	Leptospirillum	Leptotrichia	Leuconostoc	Levilactobacillus	Ligilactobacillus	Limnochorda	Limosilactobacillus	Listeria	Loigolactobacillus	Longibaculum	Longicatena	Lysinibacillus	Macrococcus	Mageeibacillus	Mameliella	Mammaliicoccus	Massilistercora	Mediterraneibacter	Megamonas	Megasphaera	Mesorhizobium	Methylibium	Methylobacterium	Methylomusa	Methylorubrum	Microbacterium	Minimicrobia	Mobiluncus	Mogibacterium	Monoglobus	Moorella	Moraxella	Murdochiella	Muribaculum	Mycobacterium	Mycolicibacterium	Mycoplasma	Nanosynbacter	Ndongobacter	Neisseria	Neobacillus	Niallia	Novisyntrophococcus	Novosphingobium	Oceanithermus	Odoribacter	Oleidesulfovibrio	Olsenella	Ornithobacterium	Oscillibacter	Ottowia	Paenibacillus	Paeniclostridium	Pandoraea	Pantoea	Parabacteroides	Paraburkholderia	Paraclostridium	Parafannyhessea	Paraprevotella	Parascardovia	Parolsenella	Parvimonas	Paucilactobacillus	Pauljensenia	Pediococcus	Peptacetobacter	Peptoclostridium	Peptoniphilus	Peribacillus	Petrimonas	Petrocella	Phascolarctobacterium	Phocaeicola	Phoenicibacter	Porphyromonas	Prevotella	Priestia	Propionibacterium	Propionimicrobium	Pseudobutyrivibrio	Pseudoclostridium	Pseudodesulfovibrio	Pseudomonas	Pseudoprevotella	Pusillimonas..ex.Kitahara.et.al..2021.	Ralstonia	Raoultella	Rhizobium	Rhodocaloribacter	Rhodococcus	Romboutsia	Roseburia	Rothia	Ruminiclostridium	Ruminococcus	Ruthenibacterium	Saccharibacillus	Saccharimonas	Saccharothrix	Salmonella	Sarcina	Scardovia	Schaalia	Schleiferilactobacillus	Sedimentibacter	Sedimenticola	Selenomonas	Shigella	Slackia	Sneathia	Sodaliphilus	Solibaculum	Sorangium	Sphingobacterium	Sphingobium	Sphingomonas	Sporomusa	Sporosarcina	Staphylococcus	Stenotrophomonas	Steroidobacter	Streptobacillus	Streptococcus	Succinivibrio	Suicoccus	Sutterella	Syntrophobotulus	Tannerella	Tepidanaerobacter	Terrisporobacter	Thermoactinomyces	Thermoanaerobacter	Thermoanaerobacterium	Thermobacillus	Thermoclostridium	Thermophilibacter	Thermosipho	Tissierella	Treponema	Trueperella	Tumebacillus	Turicibacter	Turicimonas	Vallitalea	Veillonella	Vescimonas	Vibrio	Weissella	Weizmannia	Xanthomonas
NS10	1	0	0	0	2652	10	78	0	79	92	1703	0	31	0	0	745	0	2071	0	0	656	6	278538	30	12	179905	80	14	8	52	4	3	0	0	114	25501	10	593	1018639	765679	0	0	0	0	0	0	0	0	653	27	137	0	0	0	0	5840	0	13	15	6	0	5	16	1115	0	0	0	4	18313	64872	1082004	0	0	14	680565	0	26	0	0	2	0	2	4	0	0	5	0	6	0	0	0	0	0	1	6	1070	0	10	5	15369	4047	0	0	11510	6483	0	5217	0	13398	6	4933	0	0	1	8310	726156	37	3026	30607	29	0	164	129	0	6625	4618	2	24	0	68	0	2	0	12099	0	49	9	0	0	0	0	21	1	0	149	0	90	2187	0	0	0	0	124	255	38082	11067	3472	5	230	43	2566	0	34	0	3	0	0	0	0	4	0	62	0	2	1	0	8517	8344	0	0	165	0	0	1185	555448	5	67334	0	0	0	0	0	11	36	0	79	165	0	0	37	0	0	0	0	41	5	0	19	0	868	0	0	158	0	269	1	8191	0	36	65	0	0	9651	0	1	33	1976	0	398	3	0	0	0	34	0	40	0	0	12	2408	72614	50	7	58230	0	10	10	154	0	0	27	0	6862	0	0	20	0	0	1228	73028	13	1	715	17515	0	0	0	295	0	0	139	0	0	0	12	0	15	0	1	419	0	0	0	0	3	0	57	0	0	0	6362	0	0	120	0	2	0	0	0	0	1	0	0	18	0	3	169	0	0	84	0	1	32	12415	0	5	0	2
NS11	1	0	0	0	1987	1	0	0	43	46	316	0	15	4	0	17480	0	77336	0	0	199	0	20663	2	4	21547	0	0	2	6	0	0	0	0	23	1296052	165	75	176749	24714	0	0	0	0	0	0	0	0	233	8060	16	7	0	0	0	540	1	4	4	3	0	0	0	978	0	4	0	12	1196	8967	46025	0	0	15	33395	2	3	0	0	0	0	4	0	0	0	2	353	1	0	0	0	0	0	0	215	32	0	0	140	19498	1334	0	113	4006	2022	4	688	0	26778	15	1810	0	0	0	310	324012	5	590	4217	2	2	6	8	0	3588	6167	0	1	0	107	0	0	0	644	0	17	299	0	0	0	0	5	0	0	134	0	76	863	0	0	6	0	58	39	1334	2477	1261	0	56	3	1378	0	0	5	0	0	0	0	0	0	0	9589	1	15	0	0	806	255	0	0	79	0	0	196	29385	8	286637	0	0	0	0	0	0	8	0	28	74	0	0	13	7	0	0	0	1	12	1	3	0	62	0	0	31506	0	12	1	4383	0	2	2	0	0	532409	0	0	2	395	0	54	14	0	0	0	18	0	3	0	0	0	28266	1175465	2	7	1649971	0	0	9	33	0	2	5393	0	1627	0	0	19	0	0	274	14648	19	0	837	23172	0	0	1	0	0	0	35	1	0	0	12	5	2	0	1180	475	0	1	0	0	0	0	6	0	0	0	4197	0	0	3073	0	10	0	0	0	0	0	0	0	1	0	2	111	0	0	56	1	0	37	13008	0	4	0	1
NS13	4	0	0	0	1	14	46	0	161	75	6	0	39	0	0	203	0	123303	2	0	644	3	810618	756	2	912355	5	7	4	26	0	3	0	0	132	1508795	11	0	1505	1075888	0	0	0	0	0	0	6	0	211	1138	30	0	0	0	1	311	38	3	5	0	0	2	6	573	22	0	1	505	104557	26550	100	0	0	26	192447	0	29	0	11	2	0	0	3	5	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	7963	41086	0	0	7156	2410	0	19217	0	90	0	2608	0	0	51	5732	464172	59	4898	3103	21	3	1	597	0	16040	245	1	66	0	113	1	0	0	589	2	26	47	0	0	0	0	0	0	0	2339	0	252	337	0	0	0	0	191	245	23899	5551	6920	2	105	88	796	0	0	0	13	0	0	0	23	0	0	126	0	0	3	0	5668	493	0	0	170	0	0	4479	62589	12	2	0	0	0	0	0	2	0	0	56	8757	0	0	33	0	93	0	0	6	21	7	20	0	468	0	0	705	0	3	19	6051	0	0	1	0	0	8518	0	1	0	429	6	5	3	0	1	1	7	0	62	0	0	49	97	398184	1	23	1063	0	0	3	78	0	0	37	0	637	0	0	0	0	2	36	45187	5	0	667	2608	0	0	2	0	0	0	117	0	0	0	0	0	1	0	3	432	0	0	0	29	0	0	18	8	1	0	25299	3	0	13	1	0	0	0	0	0	0	0	0	1	0	28	300	0	0	2015	0	0	185	5288	0	0	0	0
NS21	16	0	3	0	7	0	278	0	151	54	1	1	0	15	0	267	0	595	0	0	188	96	23561	7	4	281722	2	0	0	22	0	0	0	0	30	1433428	0	0	12563	99113	0	0	0	0	0	0	1	0	398	33434	23	0	0	0	0	1637	0	1	10	1	2	0	16	198	0	4	0	1	6206	20758	102	0	0	7	59093	0	688	0	0	0	0	2	0	0	0	23	0	0	0	0	0	0	0	0	11	175	31	0	20	13637	7315	2	0	16380	798	0	3324	0	25803	2	627	0	6	4	627	1213227	8	2527	875	21	0	2	0	0	158392	202	0	6	5	210	0	0	1	16	1	20	899	0	0	0	0	5	0	0	164	4	31	541	0	0	71	0	25	88	2570	3027	2012	6	10	3	245	0	1	6	0	0	0	1	0	4	0	65	0	3	0	0	1075	10168	0	0	112	8	0	1140	117257	2	26	0	0	0	2	0	1	50	0	26	102	0	0	2	3	189	0	0	13	0	0	6	0	28	0	1	377	0	15	0	15376	0	3	1	0	0	83132	0	3	1	34	0	0	5	0	9	0	9	1	3	0	0	5	99	1672480	1	3	587	0	0	36	106	0	0	15	0	421	0	0	0	0	0	192	544333	28	0	7996	17706	0	0	0	0	0	0	51	0	0	0	0	24	0	0	0	164	0	0	0	0	0	0	0	0	0	17	23451	0	0	4	0	0	0	0	0	0	0	0	1	1	0	0	174	0	0	28	0	0	32434	1209	0	0	0	0
NS25	0	0	0	0	13723	0	7	0	10	81	1	0	9	0	0	134	0	6222	0	0	479	0	20675	6	0	69755	510	0	0	63	1	0	0	0	7	1882291	457	0	25801	61446	0	1	0	0	0	0	2	0	196	2302	30	0	0	0	0	16454	0	1	9	6	0	0	2	341	0	0	0	0	6164	22664	47	0	0	10	64175	0	0	0	17	0	0	1	3	0	0	6	0	0	0	0	0	2	3	1	184	12	0	2	14	28167	3211	0	0	18953	31036	0	5504	0	456	2	5306	0	0	0	5070	1321333	145	1612	531	80	0	1	17	0	282869	1266	0	20	0	8	0	1	0	201	0	3	82	0	0	0	0	2	1	0	290	0	23	2777	0	0	0	0	184	94	8772	1882	2633	0	67	1	121	0	0	1	0	0	0	1	6	11	0	31	0	0	0	0	4454	577	0	0	7	0	0	462	101444	5	190	0	0	0	0	0	0	11	0	1	119330	0	0	10	74	34	0	0	10	0	0	24	0	127	0	0	5226	0	4	0	20483	0	10	23	0	0	99845	0	1	0	655	0	9	91	0	0	0	12	0	6	0	0	0	103379	1517120	1	8	414	0	0	48	57	0	1	1851	101	7859	0	0	0	0	0	1321	35894	2	0	193	8466	0	0	2	15	0	0	4	0	0	0	2	0	0	0	9	7172	0	0	20	0	0	0	5	0	0	0	1236	0	0	1600	0	6	0	0	0	0	0	0	0	0	0	1	131	0	3	459	20	0	38	1873	0	1	0	0
NS27	42	0	0	0	250	0	0	13	80	122	1088	0	17	29	0	62571	0	72970	0	0	320	6	204180	15	6	432426	13	1	12	19	0	0	0	0	53	1055977	126	37	1174010	139623	0	4	0	0	0	0	2	0	12	223	45	0	0	0	0	5260	0	24	7	17	1	0	2	1245	0	58	0	22	2301	25002	52031	6	0	1	63821	2	4	0	391	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	56518	0	1	3	21713	1253	2	0	3116	615	0	4845	0	219	3	3944	0	0	0	799	1103455	27	3310	39560	14	2	0	6	0	2583	199	0	9	2	102	1	0	0	891	0	31	4579	0	0	0	0	0	3	0	19	0	111	963	2	0	0	0	137	167	1765	10943	4334	51	21	2508	815	1	0	0	0	0	0	0	2	3	0	58	0	0	0	0	891	768	4	2	126	0	8	849	56862	1	944	0	0	0	0	0	0	16	0	49	278	0	0	16	3	7	0	0	16	1	11	6	0	151	0	0	21	0	3942	0	2488	0	6	34	0	0	125568	0	4	9	5822	0	55	27	0	2	0	6	0	7	3	0	3	56	697631	11	31	287	0	0	0	97	0	0	2	0	2909	0	0	0	0	0	4614	197239	6	0	135863	1079	0	0	3	0	702	0	40	0	0	0	2	0	1	0	1	235	0	0	0	0	0	0	57	3	0	0	136730	0	0	661	0	5	0	0	0	0	0	0	0	0	0	18	165	3	0	95	2	0	2910	14861	0	0	1	0
NS28	4	0	4	0	353	0	138	220	80	175	440	0	22	7	0	523929	0	130562	0	0	425	23	91032	137	12	103436	10	19	2	2	0	0	0	1	31	441551	848	29	158278	48617	0	329	0	4	0	0	0	0	69	3635	61	0	0	0	0	22644	7	5	15	8	0	0	4	656	0	0	13	7	7295	18414	8138	0	0	38	130928	0	189	0	182	0	0	6	0	0	0	0	0	0	0	0	6	0	0	0	17	206736	0	38	5	21625	433	0	0	2685	1264	0	1001	0	17243	6	1652	0	0	50	8928	1174893	19	882	1254	12	21	1	96	14	2558	212	2	658	1	27	0	0	0	86	0	18	2473	0	0	8	0	0	101	0	37	13	42	3854	2	0	0	0	21	139	2107	27669	8066	450	50	108	1520	0	0	0	59	0	0	0	0	0	0	122	0	1	0	0	8292	641	0	0	109	0	45	485	30023	4	459	0	0	0	0	0	0	29	17	37	163	0	0	14	5	1293	0	0	24	6	7	10	2	136	0	1	17594	0	5757	0	11612	0	10726	3	0	0	241039	0	0	2	3727	0	24	21	0	0	1	9	0	72	0	0	2	39002	88589	8	457	2108756	0	2	12	75	0	0	20	2	4555	0	0	0	18	0	176	133613	7	0	6769	4272	0	0	0	0	303	1	312	0	0	0	1	0	3	0	1734	511	0	0	21	51	1	0	21	0	0	0	17064	0	0	18015	0	3	0	0	0	0	0	0	0	0	0	3	163	7	0	260	2	4	1599	18292	1	4	0	0
NS29	0	0	0	0	2861	0	0	0	201	84	9	0	0	0	0	201	0	35187	14	0	6489	48	9252	42	17	277074	0	0	3	38	0	0	0	0	92	243392	23	44	1833190	157303	0	0	0	4	0	0	14	0	6	10	19	0	30	0	1	3718	0	2	10	4	0	0	5	4345	0	0	5	0	32104	222220	13398	0	0	15	38336	8	23	0	10	0	0	1	30	1	0	2	0	0	0	2	0	0	0	0	24	280	0	0	1	19111	100139	0	0	122295	7975	0	74800	0	1737	1	84346	0	0	11	1567	702728	7	6445	4929	1	0	11	45	0	36419	181	0	217	2	223	0	0	0	7913	1	37	23	0	5	0	0	0	1	0	25316	0	64	2035	27	2	0	0	9	138	198185	7793	181334	49	49	72	14457	3	19	1	0	0	0	0	0	244	0	399	0	32	0	0	2992	291560	12	1	17	0	0	1148	141552	71	69	33	0	0	0	0	0	63	2	935	39517	2	17	11	2	137	0	0	25	0	2	8	0	266	0	0	13	0	148	0	28139	0	20	124	0	0	3505	0	60	10	386	0	89	1824	0	4	1	87	0	14	6	0	29	24	438662	1	7	1475	0	0	17	50	0	0	11	0	5197	9	0	0	0	6	33207	130314	18	16	2214	308453	0	0	0	0	36	0	471	0	0	0	1	0	0	0	0	3574	0	0	0	0	1	0	67	0	0	0	36568	0	0	1	0	2	1	0	0	23	6	0	0	9	0	0	102	14	0	1058	0	2	194	3126	0	7	0	1
NS30	42	0	0	0	572	5	69	0	437	9	5	0	10	0	0	420	0	7051	17	3	4116	52	186867	96	15	211709	0	11	2	154	0	0	0	0	234	280459	2	11	667729	443351	4	0	0	0	1	0	1	0	2	7	163	0	0	0	1	2936	0	0	2	0	1	0	8	315	0	0	0	6	43198	80458	14830	0	0	14	116139	5	7	0	0	0	14	4	2	1	0	0	0	0	0	0	0	0	0	0	12	70	56	17	3	4780	19581	0	1	23929	15127	0	15409	0	377254	0	7952	0	25	291	964	920817	39	2241	2892	28	2	425	48	0	2651	289	0	32	0	297	0	12	0	3072	0	131	8	0	0	0	0	3	7	0	199	0	1881	147	2	0	36	0	282	258	9038	8172	8262	94	3	44	571	31	0	0	0	0	4	0	1	8	0	1928	0	3	0	0	1368	21255	0	0	64	0	0	1426	968755	34	22	11	0	65	0	0	0	1909	0	92	4080	0	5	8	9	1226	0	0	601	0	1	3	0	136	0	0	54	0	119	0	11321	0	0	70	0	0	2043	1	12	11	43	0	81	150	2	6	0	160	0	54	3	2	27	37	49586	35	3	3577	0	0	1	739	0	0	19	0	576	27	0	0	0	0	6370	1352252	21	0	1385	1919	0	2	0	11	87	0	370	0	0	0	1	331	0	0	0	702	0	0	4	0	0	0	50	0	0	0	29763	0	1	12	0	1	0	0	2	0	0	0	0	12	0	6	702	1	0	166	570	0	498	3363	3	82	0	0
NS32	1	0	0	0	2	25	65	0	68	331	897	0	44	0	0	41747	0	88992	9	3	575	14	99200	58	5	26463	32	0	2	15	0	0	0	0	25	716049	106	30	124182	78332	0	162	0	0	0	0	1	0	71	13593	78	0	2	0	0	13431	0	5	48	4	0	0	9	986	0	0	13	9	3522	65936	25839	0	0	497	902295	0	45	0	30	0	0	5	0	0	1	1	0	6	0	0	0	2	0	0	4571	1607	0	2	27	38273	382	0	0	11288	4676	0	2340	0	25737	20	3808	0	0	37	1569	1646558	114	2936	2396	27	3	15	23	1	4548	379	4	1	1979	194	0	0	0	2187	0	7	78	0	1	3	0	7	1	0	122	3	58	4842	0	0	0	0	326	47	4664	20095	4351	0	400	32	342	0	15	2	0	1	0	0	1	47	0	46548	0	117	0	0	1877	379	5	0	335	0	10	1508	110670	11	53	25	0	0	0	0	0	140	15	65	124	0	0	75	25	484	0	0	46	4	3	0	4	145	0	0	23995	1	20	0	22395	4	20	4	0	0	80119	0	9	3	587	0	35	14	0	6	6	43	9	8	0	196	3	13789	327455	8	184	989454	3	2	14	142	0	1	14	1	5813	11	0	0	0	0	1206	179748	20	7	80942	18792	0	1	0	0	15	0	201	0	0	2	7	39	0	0	527	4453	0	2	0	7	2	0	26	0	0	37	12675	0	0	6058	0	22	3	0	0	0	0	4	0	1	0	0	334	0	0	302	11	1	232	31729	0	0	5	0
