#Classification	SRR5091562_bracken_P.kreport
k__Bacteria	3143362
k__Bacteria|p__Bacteroidetes	2563740
k__Bacteria|p__Firmicutes	400149
k__Bacteria|p__Actinobacteria	127704
k__Bacteria|p__Proteobacteria	51682
k__Bacteria|p__Fusobacteria	61
k__Bacteria|p__Verrucomicrobia	23
k__Eukaryota	2260
k__Eukaryota|k__Fungi	2167
k__Eukaryota|k__Fungi|p__Ascomycota	2167
k__Eukaryota|k__Viridiplantae	93
k__Eukaryota|k__Viridiplantae|p__Streptophyta	93
k__Viruses	59
k__Viruses|k__Heunggongvirae	57
k__Viruses|k__Heunggongvirae|p__Uroviricota	57
k__Viruses|k__Sangervirae	2
k__Viruses|k__Sangervirae|p__Phixviricota	2
