#Classification	S-6-POLCOM-G_bracken_C.kreport
k__Bacteria	11142
k__Bacteria|p__Proteobacteria	9674
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	6423
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	1817
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	1431
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	1
k__Bacteria|p__Actinobacteria	1235
k__Bacteria|p__Actinobacteria|c__Actinomycetia	1235
k__Bacteria|p__Firmicutes	2
k__Bacteria|p__Firmicutes|c__Bacilli	2
k__Bacteria|p__Acidobacteria	198
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	198
k__Bacteria|p__Bacteroidetes	31
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	30
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	1
k__Bacteria|p__Planctomycetes	1
k__Bacteria|p__Planctomycetes|c__Planctomycetia	1
k__Eukaryota	753
k__Eukaryota|k__Viridiplantae	613
k__Eukaryota|k__Viridiplantae|p__Streptophyta	613
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Bryopsida	607
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	6
k__Eukaryota|k__Metazoa	84
k__Eukaryota|k__Metazoa|p__Chordata	84
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	84
k__Eukaryota|k__Fungi	55
k__Eukaryota|k__Fungi|p__Ascomycota	55
k__Eukaryota|k__Fungi|p__Ascomycota|c__Leotiomycetes	34
k__Eukaryota|k__Fungi|p__Ascomycota|c__Eurotiomycetes	21
