filepath,count
AD_Skin/preproc/SRR20002390/SRR20002390_paired_1.fastq,17508690
AD_Skin/preproc/SRR20002391/SRR20002391_paired_1.fastq,10507366
AD_Skin/preproc/SRR20002392/SRR20002392_paired_1.fastq,51709
AD_Skin/preproc/SRR20002393/SRR20002393_paired_1.fastq,2216398
AD_Skin/preproc/SRR20002394/SRR20002394_paired_1.fastq,3627488
AD_Skin/preproc/SRR20002395/SRR20002395_paired_1.fastq,1212170
AD_Skin/preproc/SRR20002396/SRR20002396_paired_1.fastq,3650902
AD_Skin/preproc/SRR20002397/SRR20002397_paired_1.fastq,2416815
AD_Skin/preproc/SRR20002398/SRR20002398_paired_1.fastq,9337
AD_Skin/preproc/SRR20002399/SRR20002399_paired_1.fastq,185067
AD_Skin/preproc/SRR20002400/SRR20002400_paired_1.fastq,42357
AD_Skin/preproc/SRR20002401/SRR20002401_paired_1.fastq,8115681
AD_Skin/preproc/SRR20002402/SRR20002402_paired_1.fastq,371372
AD_Skin/preproc/SRR20002403/SRR20002403_paired_1.fastq,99222
AD_Skin/preproc/SRR20002404/SRR20002404_paired_1.fastq,32038
AD_Skin/preproc/SRR20002405/SRR20002405_paired_1.fastq,104749
AD_Skin/preproc/SRR20002406/SRR20002406_paired_1.fastq,2389471
AD_Skin/preproc/SRR20002407/SRR20002407_paired_1.fastq,10869
AD_Skin/preproc/SRR20002408/SRR20002408_paired_1.fastq,35038
AD_Skin/preproc/SRR20002409/SRR20002409_paired_1.fastq,140577
AD_Skin/preproc/SRR20002410/SRR20002410_paired_1.fastq,1551352
AD_Skin/preproc/SRR20002411/SRR20002411_paired_1.fastq,5103846
AD_Skin/preproc/SRR20002412/SRR20002412_paired_1.fastq,2782711
AD_Skin/preproc/SRR20002413/SRR20002413_paired_1.fastq,25831
AD_Skin/preproc/SRR20002414/SRR20002414_paired_1.fastq,2977130
AD_Skin/preproc/SRR20002415/SRR20002415_paired_1.fastq,157821
AD_Skin/preproc/SRR20002416/SRR20002416_paired_1.fastq,334305
AD_Skin/preproc/SRR20002417/SRR20002417_paired_1.fastq,176899
AD_Skin/preproc/SRR20002418/SRR20002418_paired_1.fastq,1167593
AD_Skin/preproc/SRR20002419/SRR20002419_paired_1.fastq,2640509
AD_Skin/preproc/SRR20002420/SRR20002420_paired_1.fastq,824536
AD_Skin/preproc/SRR20002421/SRR20002421_paired_1.fastq,948062
AD_Skin/preproc/SRR20002422/SRR20002422_paired_1.fastq,9478113
AD_Skin/preproc/SRR20002423/SRR20002423_paired_1.fastq,16140
AD_Skin/preproc/SRR20002424/SRR20002424_paired_1.fastq,9835
AD_Skin/preproc/SRR20002425/SRR20002425_paired_1.fastq,15746464
AD_Skin/preproc/SRR20002426/SRR20002426_paired_1.fastq,486547
AD_Skin/preproc/SRR20002427/SRR20002427_paired_1.fastq,12290257
AD_Skin/preproc/SRR20002428/SRR20002428_paired_1.fastq,572173
AD_Skin/preproc/SRR20002429/SRR20002429_paired_1.fastq,2866049
AD_Skin/preproc/SRR20002430/SRR20002430_paired_1.fastq,6851136
AD_Skin/preproc/SRR20002431/SRR20002431_paired_1.fastq,6554116
AD_Skin/preproc/SRR20002432/SRR20002432_paired_1.fastq,47622
AD_Skin/preproc/SRR20002433/SRR20002433_paired_1.fastq,5073213
AD_Skin/preproc/SRR20002434/SRR20002434_paired_1.fastq,1133900
AD_Skin/preproc/SRR20002435/SRR20002435_paired_1.fastq,3320438
AD_Skin/preproc/SRR20002436/SRR20002436_paired_1.fastq,8236
AD_Skin/preproc/SRR20002437/SRR20002437_paired_1.fastq,159735
AD_Skin/preproc/SRR20002438/SRR20002438_paired_1.fastq,100573
AD_Skin/preproc/SRR20002439/SRR20002439_paired_1.fastq,79632
AD_Skin/preproc/SRR20002440/SRR20002440_paired_1.fastq,3734453
AD_Skin/preproc/SRR20002441/SRR20002441_paired_1.fastq,10997859
AD_Skin/preproc/SRR20002442/SRR20002442_paired_1.fastq,2548661
AD_Skin/preproc/SRR20002443/SRR20002443_paired_1.fastq,3904356
AD_Skin/preproc/SRR20002444/SRR20002444_paired_1.fastq,18138034
AD_Skin/preproc/SRR20002445/SRR20002445_paired_1.fastq,1907580
AD_Skin/preproc/SRR20002446/SRR20002446_paired_1.fastq,2879698
AD_Skin/preproc/SRR20002447/SRR20002447_paired_1.fastq,4835785
AD_Skin/preproc/SRR20002448/SRR20002448_paired_1.fastq,3559937
AD_Skin/preproc/SRR20002449/SRR20002449_paired_1.fastq,125238
AD_Skin/preproc/SRR20002450/SRR20002450_paired_1.fastq,2433522
AD_Skin/preproc/SRR20002451/SRR20002451_paired_1.fastq,20258
AD_Skin/preproc/SRR20002452/SRR20002452_paired_1.fastq,1603277
AD_Skin/preproc/SRR20002453/SRR20002453_paired_1.fastq,22119
AD_Skin/preproc/SRR20002454/SRR20002454_paired_1.fastq,26742
AD_Skin/preproc/SRR20002455/SRR20002455_paired_1.fastq,3205367
AD_Skin/preproc/SRR20002456/SRR20002456_paired_1.fastq,1346554
AD_Skin/preproc/SRR20002457/SRR20002457_paired_1.fastq,1945708
AD_Skin/preproc/SRR20002458/SRR20002458_paired_1.fastq,11994
AD_Skin/preproc/SRR20002459/SRR20002459_paired_1.fastq,2287077
AD_Skin/preproc/SRR20002460/SRR20002460_paired_1.fastq,24807
AD_Skin/preproc/SRR20002461/SRR20002461_paired_1.fastq,24908
AD_Skin/preproc/SRR20002462/SRR20002462_paired_1.fastq,6020074
AD_Skin/preproc/SRR20002463/SRR20002463_paired_1.fastq,28724
AD_Skin/preproc/SRR20002464/SRR20002464_paired_1.fastq,1584766
AD_Skin/preproc/SRR20002465/SRR20002465_paired_1.fastq,4933455
