#Classification	SRR5091527_bracken_P.kreport
k__Bacteria	3940326
k__Bacteria|p__Firmicutes	2610033
k__Bacteria|p__Actinobacteria	79095
k__Bacteria|p__Tenericutes	2214
k__Bacteria|p__Deinococcus-Thermus	1
k__Bacteria|p__Bacteroidetes	1189907
k__Bacteria|p__Proteobacteria	58981
k__Bacteria|p__Verrucomicrobia	60
k__Bacteria|p__Fusobacteria	27
k__Bacteria|p__Candidatus_Saccharibacteria	3
k__Bacteria|p__Synergistetes	2
k__Eukaryota	1041
k__Eukaryota|k__Viridiplantae	1041
k__Eukaryota|k__Viridiplantae|p__Streptophyta	1041
k__Viruses	135
k__Viruses|k__Heunggongvirae	135
k__Viruses|k__Heunggongvirae|p__Peploviricota	128
k__Viruses|k__Heunggongvirae|p__Uroviricota	7
