#Classification	GQ52_bracken_P.kreport
k__Bacteria	21561255
k__Bacteria|p__Bacteroidetes	14436568
k__Bacteria|p__Firmicutes	6208891
k__Bacteria|p__Actinobacteria	114578
k__Bacteria|p__Verrucomicrobia	572114
k__Bacteria|p__Proteobacteria	228919
k__Bacteria|p__Spirochaetes	144
k__Bacteria|p__Candidatus_Saccharibacteria	23
k__Bacteria|p__Fusobacteria	13
k__Eukaryota	126
k__Eukaryota|k__Fungi	67
k__Eukaryota|k__Fungi|p__Ascomycota	67
k__Eukaryota|k__Viridiplantae	59
k__Eukaryota|k__Viridiplantae|p__Streptophyta	59
k__Viruses	899
k__Viruses|k__Heunggongvirae	899
k__Viruses|k__Heunggongvirae|p__Uroviricota	899
