#Classification	S-5-POLCOM-B_bracken_C.kreport
k__Bacteria	31643
k__Bacteria|p__Proteobacteria	27439
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	10490
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	3405
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	13542
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	1
k__Bacteria|p__Acidobacteria	1908
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	1908
k__Bacteria|p__Actinobacteria	1537
k__Bacteria|p__Actinobacteria|c__Actinomycetia	1537
k__Bacteria|p__Bacteroidetes	722
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	188
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	427
k__Bacteria|p__Bacteroidetes|c__Cytophagia	101
k__Bacteria|p__Bacteroidetes|c__Chitinophagia	4
k__Bacteria|p__Planctomycetes	32
k__Bacteria|p__Planctomycetes|c__Planctomycetia	32
k__Bacteria|p__Verrucomicrobia	2
k__Bacteria|p__Verrucomicrobia|c__Opitutae	1
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	1
k__Eukaryota	145
k__Eukaryota|k__Metazoa	92
k__Eukaryota|k__Metazoa|p__Chordata	92
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	92
k__Eukaryota|k__Fungi	9
k__Eukaryota|k__Fungi|p__Ascomycota	7
k__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes	3
k__Eukaryota|k__Fungi|p__Ascomycota|c__Leotiomycetes	3
k__Eukaryota|k__Fungi|p__Basidiomycota	2
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Agaricomycetes	2
k__Eukaryota|k__Viridiplantae	43
k__Eukaryota|k__Viridiplantae|p__Streptophyta	43
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Bryopsida	40
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	3
k__Eukaryota|p__Euglenozoa	1
k__Eukaryota|p__Euglenozoa|c__Kinetoplastea	1
