#Classification	SRR5091472_bracken_P.kreport
k__Bacteria	4802533
k__Bacteria|p__Bacteroidetes	4339266
k__Bacteria|p__Firmicutes	401538
k__Bacteria|p__Actinobacteria	17896
k__Bacteria|p__Proteobacteria	42999
k__Bacteria|p__Verrucomicrobia	800
k__Bacteria|p__Fusobacteria	24
k__Bacteria|p__Spirochaetes	6
k__Bacteria|p__Candidatus_Saccharibacteria	1
k__Eukaryota	76
k__Eukaryota|k__Metazoa	61
k__Eukaryota|k__Metazoa|p__Chordata	61
k__Eukaryota|k__Viridiplantae	15
k__Eukaryota|k__Viridiplantae|p__Streptophyta	15
k__Archaea	7
k__Archaea|p__Euryarchaeota	7
k__Viruses	920
k__Viruses|k__Heunggongvirae	920
k__Viruses|k__Heunggongvirae|p__Uroviricota	919
k__Viruses|k__Heunggongvirae|p__Peploviricota	1
