name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bacteroides stercoris	46506	S	43023	1184437	1227460	0.21111
Bacteroides uniformis	820	S	21030	1050079	1071109	0.18422
Bacteroides caccae	47678	S	11772	61207	72979	0.01255
Bacteroides thetaiotaomicron	818	S	5655	79103	84758	0.01458
Bacteroides ovatus	28116	S	4730	416846	421576	0.07251
Bacteroides cellulosilyticus	246787	S	1942	53524	55466	0.00954
Bacteroides sp. D2	556259	S	146	6761	6907	0.00119
Bacteroides sp. M10	2763022	S	119	3044	3163	0.00054
Bacteroides sp. CACC 737	2755405	S	102	17404	17506	0.00301
Bacteroides sp. MSB163	3117552	S	25	230	255	0.00004
Bacteroides sp. A1C1	2528203	S	4	1024	1028	0.00018
Bacteroides sp. HF-162	2785531	S	1	339	340	0.00006
Bacteroides sp. DH3716P	2847299	S	1	450	451	0.00008
Bacteroides nordii	291645	S	389	1421	1810	0.00031
Bacteroides xylanisolvens	371601	S	282	17058	17340	0.00298
Bacteroides salyersiae	291644	S	100	907	1007	0.00017
Bacteroides intestinalis	329854	S	41	135	176	0.00003
Bacteroides eggerthii	28111	S	23	510	533	0.00009
Bacteroides fragilis	817	S	19	497	516	0.00009
Bacteroides faecium	2715212	S	3	3	6	0.00000
Bacteroides finegoldii	338188	S	2	41	43	0.00001
Bacteroides faecis	674529	S	2	53	55	0.00001
Phocaeicola vulgatus	821	S	31137	963447	994584	0.17106
Phocaeicola dorei	357276	S	837	28015	28852	0.00496
Phocaeicola coprophilus	387090	S	92	2892	2984	0.00051
Parabacteroides merdae	46503	S	5180	71496	76676	0.01319
Parabacteroides distasonis	823	S	2172	85377	87549	0.01506
Parabacteroides johnsonii	387661	S	40	229	269	0.00005
Parabacteroides goldsteinii	328812	S	26	241	267	0.00005
Alistipes finegoldii	214856	S	1655	29240	30895	0.00531
Alistipes onderdonkii	328813	S	1203	12172	13375	0.00230
Alistipes shahii	328814	S	440	12454	12894	0.00222
Alistipes communis	2585118	S	193	1092	1285	0.00022
uncultured Alistipes sp.	538949	S	172	968	1140	0.00020
Alistipes senegalensis	1288121	S	3	7	10	0.00000
Alistipes dispar	2585119	S	1	4	5	0.00000
Paraprevotella clara	454154	S	3609	20279	23888	0.00411
Paraprevotella xylaniphila	454155	S	268	2481	2749	0.00047
Segatella copri	165179	S	4	18	22	0.00000
Prevotella sp. oral taxon 299	652716	S	1	0	1	0.00000
Odoribacter splanchnicus	28118	S	2926	11788	14714	0.00253
Butyricimonas faecalis	2093856	S	1	46	47	0.00001
Coprobacter secundus	1501392	S	138	1620	1758	0.00030
Coprobacter fastidiosus	1099853	S	5	8	13	0.00000
Barnesiella viscericola	397865	S	12	74	86	0.00001
Akkermansia muciniphila	239935	S	2123	19972	22095	0.00380
Desulfovibrio piger	901	S	1566	744	2310	0.00040
Cronobacter sakazakii	28141	S	91	10026	10117	0.00174
Turicimonas muris	1796652	S	1	0	1	0.00000
Agathobacter rectalis	39491	S	23077	153500	176577	0.03037
Blautia wexlerae	418240	S	10099	481376	491475	0.08453
Blautia hansenii	1322	S	622	40965	41587	0.00715
Blautia obeum	40520	S	246	5041	5287	0.00091
Blautia parvula	2877527	S	111	2514	2625	0.00045
Blautia luti	89014	S	31	644	675	0.00012
Blautia hydrogenotrophica	53443	S	9	505	514	0.00009
Blautia sp. SC05B48	2479767	S	8	192	200	0.00003
Blautia coccoides	1532	S	1	34	35	0.00001
Blautia argi	1912897	S	1	23	24	0.00000
Enterocloster bolteae	208479	S	5303	48648	53951	0.00928
Enterocloster asparagiformis	333367	S	1232	730	1962	0.00034
Enterocloster clostridioformis	1531	S	183	6888	7071	0.00122
Dorea longicatena	88431	S	7647	130327	137974	0.02373
Dorea formicigenerans	39486	S	940	39752	40692	0.00700
[Ruminococcus] torques	33039	S	3473	39465	42938	0.00739
Mediterraneibacter gnavus	33038	S	2562	43136	45698	0.00786
Mediterraneibacter glycyrrhizinilyticus	342942	S	648	39043	39691	0.00683
[Ruminococcus] lactaris	46228	S	23	139	162	0.00003
Anaerostipes hadrus	649756	S	3229	108310	111539	0.01918
Anaerostipes caccae	105841	S	43	397	440	0.00008
Faecalimonas umbilicata	1912855	S	521	22590	23111	0.00397
[Clostridium] scindens	29347	S	246	5276	5522	0.00095
[Clostridium] symbiosum	1512	S	212	573	785	0.00014
Eisenbergiella porci	2652274	S	307	2669	2976	0.00051
Coprococcus catus	116085	S	217	2257	2474	0.00043
Coprococcus comes	410072	S	2	83	85	0.00001
Coprococcus sp. ART55/1	751585	S	2	118	120	0.00002
Simiaoa sunii	2763672	S	208	3483	3691	0.00063
Roseburia hominis	301301	S	81	3179	3260	0.00056
Roseburia intestinalis	166486	S	8	237	245	0.00004
Roseburia faecis	301302	S	8	25	33	0.00001
Hungatella hathewayi	154046	S	100	176	276	0.00005
Wansuia hejianensis	2763667	S	55	1206	1261	0.00022
Sellimonas intestinalis	1653434	S	26	763	789	0.00014
Sellimonas catena	2994035	S	7	241	248	0.00004
Anaerobutyricum hallii	39488	S	18	155	173	0.00003
Eshraghiella crossota	45851	S	15	38	53	0.00001
Butyrivibrio fibrisolvens	831	S	4	86	90	0.00002
Wujia chipingensis	2763670	S	4	98	102	0.00002
Claveliimonas bilis	3028070	S	1	35	36	0.00001
Flavonifractor plautii	292800	S	4500	43354	47854	0.00823
Ruthenibacterium lactatiformans	1550024	S	1345	22512	23857	0.00410
