#Classification	S-3-DICUND-G_bracken_C.kreport
k__Bacteria	4068
k__Bacteria|p__Proteobacteria	4014
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	3489
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	402
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	122
k__Bacteria|p__Actinobacteria	52
k__Bacteria|p__Actinobacteria|c__Actinomycetia	52
k__Bacteria|p__Acidobacteria	2
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	2
k__Eukaryota	8
k__Eukaryota|k__Metazoa	6
k__Eukaryota|k__Metazoa|p__Chordata	6
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	6
k__Eukaryota|k__Viridiplantae	2
k__Eukaryota|k__Viridiplantae|p__Streptophyta	2
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Bryopsida	2
