#Classification	S-7-DICUND-G_bracken_P.kreport
k__Bacteria	754503
k__Bacteria|p__Actinobacteria	222752
k__Bacteria|p__Cyanobacteria	1090
k__Bacteria|p__Firmicutes	172924
k__Bacteria|p__Armatimonadetes	168
k__Bacteria|p__Chloroflexi	114
k__Bacteria|p__Deinococcus-Thermus	22
k__Bacteria|p__Tenericutes	1
k__Bacteria|p__Proteobacteria	326771
k__Bacteria|p__Acidobacteria	19840
k__Bacteria|p__Planctomycetes	4533
k__Bacteria|p__Verrucomicrobia	1811
k__Bacteria|p__Chlamydiae	133
k__Bacteria|p__Kiritimatiellaeota	493
k__Bacteria|p__Candidatus_Omnitrophica	4
k__Bacteria|p__Bacteroidetes	3063
k__Bacteria|p__Chlorobi	6
k__Bacteria|p__Gemmatimonadetes	40
k__Bacteria|p__Candidatus_Saccharibacteria	56
k__Bacteria|p__Spirochaetes	665
k__Bacteria|p__Nitrospirae	4
k__Bacteria|p__Elusimicrobia	1
k__Bacteria|p__Thermodesulfobacteria	1
k__Bacteria|p__Synergistetes	1
k__Bacteria|p__Thermotogae	1
k__Eukaryota	18605
k__Eukaryota|k__Viridiplantae	10630
k__Eukaryota|k__Viridiplantae|p__Streptophyta	10629
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	1
k__Eukaryota|k__Metazoa	5300
k__Eukaryota|k__Metazoa|p__Chordata	5300
k__Eukaryota|k__Fungi	2604
k__Eukaryota|k__Fungi|p__Ascomycota	2428
k__Eukaryota|k__Fungi|p__Basidiomycota	175
k__Eukaryota|p__Apicomplexa	60
k__Eukaryota|p__Euglenozoa	10
k__Archaea	25
k__Archaea|p__Euryarchaeota	24
k__Archaea|p__Candidatus_Micrarchaeota	1
k__Viruses	29
k__Viruses|k__Heunggongvirae	29
k__Viruses|k__Heunggongvirae|p__Uroviricota	29
