#Classification	GQ22_bracken_P.kreport
k__Bacteria	9294319
k__Bacteria|p__Firmicutes	6731242
k__Bacteria|p__Actinobacteria	758453
k__Bacteria|p__Tenericutes	256
k__Bacteria|p__Cyanobacteria	3
k__Bacteria|p__Proteobacteria	735949
k__Bacteria|p__Bacteroidetes	549027
k__Bacteria|p__Candidatus_Saccharibacteria	320442
k__Bacteria|p__Fusobacteria	188567
k__Bacteria|p__Spirochaetes	10130
k__Bacteria|p__Synergistetes	246
k__Eukaryota	5781
k__Eukaryota|k__Metazoa	5535
k__Eukaryota|k__Metazoa|p__Chordata	5535
k__Eukaryota|k__Fungi	14
k__Eukaryota|k__Fungi|p__Basidiomycota	14
k__Eukaryota|p__Apicomplexa	127
k__Eukaryota|k__Viridiplantae	104
k__Eukaryota|k__Viridiplantae|p__Streptophyta	102
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	2
k__Viruses	520
k__Viruses|k__Heunggongvirae	518
k__Viruses|k__Heunggongvirae|p__Uroviricota	511
k__Viruses|k__Heunggongvirae|p__Peploviricota	7
k__Viruses|k__Shotokuvirae	2
k__Viruses|k__Shotokuvirae|p__Cressdnaviricota	2
