#Classification	S-24-POLJUN-G_bracken_P.kreport
k__Bacteria	20088
k__Bacteria|p__Proteobacteria	19127
k__Bacteria|p__Cyanobacteria	507
k__Bacteria|p__Actinobacteria	279
k__Bacteria|p__Acidobacteria	132
k__Bacteria|p__Bacteroidetes	34
k__Bacteria|p__Planctomycetes	7
k__Eukaryota	1518
k__Eukaryota|k__Viridiplantae	1330
k__Eukaryota|k__Viridiplantae|p__Streptophyta	1330
k__Eukaryota|k__Metazoa	180
k__Eukaryota|k__Metazoa|p__Chordata	180
k__Eukaryota|k__Fungi	6
k__Eukaryota|k__Fungi|p__Ascomycota	6
