#Classification	GQ14_bracken_P.kreport
k__Bacteria	1058344
k__Bacteria|p__Firmicutes	414379
k__Bacteria|p__Actinobacteria	105373
k__Bacteria|p__Tenericutes	41
k__Bacteria|p__Bacteroidetes	77459
k__Bacteria|p__Proteobacteria	441413
k__Bacteria|p__Fusobacteria	16959
k__Bacteria|p__Candidatus_Saccharibacteria	2509
k__Bacteria|p__Spirochaetes	202
k__Bacteria|p__Synergistetes	7
k__Eukaryota	2105
k__Eukaryota|k__Metazoa	2105
k__Eukaryota|k__Metazoa|p__Chordata	2105
k__Viruses	4
k__Viruses|k__Heunggongvirae	4
k__Viruses|k__Heunggongvirae|p__Peploviricota	3
k__Viruses|k__Heunggongvirae|p__Uroviricota	1
