#Classification	S-8-POLCOM-B_bracken_O.kreport
k__Bacteria	1964378
k__Bacteria|p__Proteobacteria	1250937
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	604983
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	334636
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	150642
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	74300
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	33077
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales	11170
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Maricaulales	471
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales	83
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomonadales	302
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Emcibacterales	188
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Pelagibacterales	15
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Holosporales	15
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Magnetococcales	5
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Parvularculales	69
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Kordiimonadales	2
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	460069
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	448401
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales	6457
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	2419
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales	2791
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	174019
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	95389
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	29994
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	32085
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales	1841
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales	3117
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales	390
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Nevskiales	2769
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Methylococcales	411
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	4826
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales	604
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cellvibrionales	284
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Acidiferrobacterales	102
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Thiotrichales	184
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales	1576
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Vibrionales	185
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Salinisphaerales	30
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	142
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Immundisolibacterales	42
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales	32
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Kangiellales	4
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Orbales	3
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	11266
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales	9325
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfuromonadales	744
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	489
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfobacterales	159
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Bradymonadales	42
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Syntrophobacterales	131
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfarculales	356
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Syntrophales	15
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	179
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	165
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Nautiliales	14
k__Bacteria|p__Proteobacteria|c__Acidithiobacillia	257
k__Bacteria|p__Proteobacteria|c__Acidithiobacillia|o__Acidithiobacillales	257
k__Bacteria|p__Proteobacteria|c__Oligoflexia	104
k__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Bdellovibrionales	78
k__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Silvanigrellales	16
k__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Bacteriovoracales	9
k__Bacteria|p__Proteobacteria|c__Hydrogenophilalia	52
k__Bacteria|p__Proteobacteria|c__Hydrogenophilalia|o__Hydrogenophilales	52
k__Bacteria|p__Proteobacteria|c__Zetaproteobacteria	3
k__Bacteria|p__Proteobacteria|c__Zetaproteobacteria|o__Mariprofundales	3
k__Bacteria|p__Actinobacteria	480238
