feature	Alcaligenaceae	Burkholderiaceae	Corynebacteriaceae	Enterobacteriaceae	Lactobacillaceae	Micrococcaceae	Moraxellaceae	Neisseriaceae	Prevotellaceae	Propionibacteriaceae	Pseudomonadaceae	Rhodospirillaceae	Staphylococcaceae	Streptococcaceae	Thermaceae
SRR20002340	0	0.0270929587876548	0	0	0	0	0.0458187026427647	0	0	0.488869894659028	0.438218443910553	0	0	0	0
SRR20002343	0	0.00385116978440249	0	0	0	0.00101515385755258	0.0405067237504947	0	0	0.34611133527533	0.205276619002012	0	0.357356289174835	0	0.0458827091553727
SRR20002345	0.0964430644361623	0.00146112490823098	0	0	0	0.00233394345161478	0.0164959627783404	0	0	0.775352917152392	0.0983058294637694	0.00318173641044092	0.000124717667303725	0	0.00630070373174543
SRR20002351	0.00652109166159536	0.0151748928583131	0.00935881392928446	0	0.000562905727464535	0.00668786490851585	0.0358061792985436	0.00725997445755437	0	0.688374800231053	0.0996188513409784	0	0.00581534262330268	0.124819282963395	0
SRR20002352	0	4.01721956402437e-05	0	0	0	0	0.000580708348621468	0	0	0.0151722953828527	0.00770054214579233	0	0.972849098787694	0.00365718313939931	0
SRR20002353	0.000222344484639567	0.0429416986794036	0	0	0	0	0.113192818110851	0	0	0.435736763605616	0.40790637511949	0	0	0	0
SRR20002355	0	0.0131454003301326	0	0	0	0	0.0126573010773682	0	0	0.680840773149216	0.293356525443283	0	0	0	0
SRR20002356	0	0	0	0.0131150824086857	0	0	0	0	0	0.0750434626987779	0.885390141637265	0	0	0.0264513132552709	0
SRR20002360	0	0.0112107125483681	0	0	0	0	0.0139639375962569	0	0	0.566134928212281	0.408690421643094	0	0	0	0
SRR20002363	0	0.000283804571579869	0	0	0	0	8.94978350913567e-05	0	0	0.00353398020473687	0.00881282982764899	0	0.974528137890956	0.0127517496699873	0
SRR20002365	0	0	0	0	0	0	0.0194779403693071	0	0	0.841668302191825	0.138853757438867	0	0	0	0
