#Classification	SRR20002391_bracken_P.kreport
k__Bacteria	9426061
k__Bacteria|p__Proteobacteria	7034492
k__Bacteria|p__Actinobacteria	1871001
k__Bacteria|p__Firmicutes	477914
k__Bacteria|p__Deinococcus-Thermus	3176
k__Bacteria|p__Cyanobacteria	202
k__Bacteria|p__Armatimonadetes	20
k__Bacteria|p__Chloroflexi	1
k__Bacteria|p__Bacteroidetes	37131
k__Bacteria|p__Rhodothermaeota	1
k__Bacteria|p__Gemmatimonadetes	33
k__Bacteria|p__Verrucomicrobia	754
k__Bacteria|p__Chlamydiae	282
k__Bacteria|p__Planctomycetes	68
k__Bacteria|p__Fusobacteria	807
k__Bacteria|p__Spirochaetes	95
k__Bacteria|p__Nitrospirae	35
k__Bacteria|p__Synergistetes	21
k__Bacteria|p__Candidatus_Saccharibacteria	13
k__Bacteria|p__Acidobacteria	9
k__Eukaryota	38533
k__Eukaryota|k__Fungi	22478
k__Eukaryota|k__Fungi|p__Basidiomycota	19922
k__Eukaryota|k__Fungi|p__Ascomycota	2555
k__Eukaryota|k__Metazoa	2314
k__Eukaryota|k__Metazoa|p__Chordata	2314
k__Eukaryota|k__Viridiplantae	13403
k__Eukaryota|k__Viridiplantae|p__Streptophyta	13403
k__Eukaryota|p__Apicomplexa	288
k__Eukaryota|p__Euglenozoa	48
k__Archaea	174
k__Archaea|p__Euryarchaeota	143
k__Archaea|p__Thaumarchaeota	31
k__Viruses	1113
k__Viruses|k__Heunggongvirae	1105
k__Viruses|k__Heunggongvirae|p__Uroviricota	1105
k__Viruses|k__Bamfordvirae	8
k__Viruses|k__Bamfordvirae|p__Nucleocytoviricota	8
