#Classification	NS13_bracken_P.kreport
k__Bacteria	5767383
k__Bacteria|p__Firmicutes	4750644
k__Bacteria|p__Actinobacteria	20418
k__Bacteria|p__Bacteroidetes	995134
k__Bacteria|p__Proteobacteria	1064
k__Bacteria|p__Spirochaetes	80
k__Bacteria|p__Verrucomicrobia	41
k__Eukaryota	20
k__Eukaryota|k__Metazoa	16
k__Eukaryota|k__Metazoa|p__Chordata	16
k__Eukaryota|k__Viridiplantae	4
k__Eukaryota|k__Viridiplantae|p__Streptophyta	4
k__Archaea	17
k__Archaea|p__Euryarchaeota	17
k__Viruses	170095
k__Viruses|k__Heunggongvirae	170095
k__Viruses|k__Heunggongvirae|p__Uroviricota	170095
