#Classification	GQ43_bracken_P.kreport
k__Bacteria	29338032
k__Bacteria|p__Bacteroidetes	23167360
k__Bacteria|p__Firmicutes	5855599
k__Bacteria|p__Actinobacteria	173861
k__Bacteria|p__Proteobacteria	140310
k__Bacteria|p__Spirochaetes	571
k__Bacteria|p__Verrucomicrobia	136
k__Bacteria|p__Fusobacteria	99
k__Bacteria|p__Candidatus_Saccharibacteria	93
k__Eukaryota	377
k__Eukaryota|k__Fungi	219
k__Eukaryota|k__Fungi|p__Ascomycota	205
k__Eukaryota|k__Fungi|p__Basidiomycota	14
k__Eukaryota|k__Viridiplantae	157
k__Eukaryota|k__Viridiplantae|p__Streptophyta	157
k__Viruses	2528
k__Viruses|k__Heunggongvirae	2528
k__Viruses|k__Heunggongvirae|p__Uroviricota	2528
