#Classification	S-8-POLCOM-G_bracken_C.kreport
k__Eukaryota|k__Fungi|p__Ascomycota	5234
k__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes	1914
k__Eukaryota|k__Fungi|p__Ascomycota|c__Leotiomycetes	836
k__Eukaryota|k__Fungi|p__Ascomycota|c__Dothideomycetes	927
k__Eukaryota|k__Fungi|p__Ascomycota|c__Eurotiomycetes	1218
k__Eukaryota|k__Fungi|p__Ascomycota|c__Saccharomycetes	311
k__Eukaryota|k__Fungi|p__Ascomycota|c__Schizosaccharomycetes	25
k__Eukaryota|k__Fungi|p__Basidiomycota	561
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Agaricomycetes	421
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Tremellomycetes	38
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Ustilaginomycetes	86
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Malasseziomycetes	14
k__Eukaryota|p__Apicomplexa	47
k__Eukaryota|p__Apicomplexa|c__Aconoidasida	40
k__Eukaryota|p__Apicomplexa|c__Conoidasida	6
k__Eukaryota|p__Cercozoa	17
k__Eukaryota|p__Cercozoa|c__Chlorarachniophyceae	17
k__Eukaryota|p__Bacillariophyta	17
k__Eukaryota|p__Bacillariophyta|c__Coscinodiscophyceae	17
k__Eukaryota|p__Evosea	26
k__Eukaryota|p__Evosea|c__Eumycetozoa	26
k__Eukaryota|p__Euglenozoa	7
k__Eukaryota|p__Euglenozoa|c__Kinetoplastea	7
k__Eukaryota|p__Rhodophyta	6
k__Eukaryota|p__Rhodophyta|c__Bangiophyceae	6
k__Eukaryota|c__Cryptophyceae	17
k__Archaea	202
k__Archaea|p__Euryarchaeota	198
k__Archaea|p__Euryarchaeota|c__Halobacteria	172
k__Archaea|p__Euryarchaeota|c__Methanomicrobia	6
k__Archaea|p__Euryarchaeota|c__Methanobacteria	16
k__Archaea|p__Euryarchaeota|c__Methanococci	1
k__Archaea|p__Euryarchaeota|c__Thermococci	3
k__Archaea|p__Thaumarchaeota	3
k__Archaea|p__Thaumarchaeota|c__Nitrososphaeria	3
k__Archaea|p__Crenarchaeota	1
k__Archaea|p__Crenarchaeota|c__Thermoprotei	1
k__Viruses	29
k__Viruses|k__Heunggongvirae	20
k__Viruses|k__Heunggongvirae|p__Uroviricota	20
k__Viruses|k__Heunggongvirae|p__Uroviricota|c__Caudoviricetes	20
k__Viruses|k__Bamfordvirae	7
k__Viruses|k__Bamfordvirae|p__Nucleocytoviricota	7
k__Viruses|k__Bamfordvirae|p__Nucleocytoviricota|c__Megaviricetes	5
k__Viruses|k__Bamfordvirae|p__Nucleocytoviricota|c__Pokkesviricetes	2
k__Viruses|k__Orthornavirae	1
k__Viruses|k__Orthornavirae|p__Pisuviricota	1
k__Viruses|k__Orthornavirae|p__Pisuviricota|c__Stelpaviricetes	1
k__Viruses|c__Naldaviricetes	1
