#Classification	S-8-POLCOM-G_bracken_O.kreport
k__Bacteria	1314772
k__Bacteria|p__Proteobacteria	960664
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	419360
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	202703
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	146830
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	51987
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	10498
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales	6799
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales	65
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Maricaulales	257
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomonadales	56
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Emcibacterales	67
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Parvularculales	88
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Kordiimonadales	2
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Pelagibacterales	2
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Magnetococcales	1
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	387921
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	381571
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales	3634
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	1405
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales	1310
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	149789
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	93563
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	33462
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	14906
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales	1046
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales	1824
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales	269
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Nevskiales	1560
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Methylococcales	222
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	597
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cellvibrionales	219
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales	203
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales	1504
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Acidiferrobacterales	50
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Vibrionales	135
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Salinisphaerales	24
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Immundisolibacterales	93
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Thiotrichales	15
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	65
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales	19
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Kangiellales	5
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	3242
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales	2542
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfuromonadales	156
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	193
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfobacterales	62
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Bradymonadales	24
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Syntrophobacterales	81
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfarculales	177
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Syntrophales	3
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	97
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	94
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Nautiliales	3
k__Bacteria|p__Proteobacteria|c__Acidithiobacillia	183
k__Bacteria|p__Proteobacteria|c__Acidithiobacillia|o__Acidithiobacillales	183
k__Bacteria|p__Proteobacteria|c__Oligoflexia	69
k__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Bdellovibrionales	62
k__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Silvanigrellales	4
k__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Bacteriovoracales	2
k__Bacteria|p__Actinobacteria	269411
k__Bacteria|p__Actinobacteria|c__Actinomycetia	253079
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	109516
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	27919
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Pseudonocardiales	43097
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptomycetales	21553
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales	15222
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Nakamurellales	10011
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micromonosporales	6240
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptosporangiales	3618
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Jatrophihabitantales	2201
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Frankiales	1842
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Geodermatophilales	2536
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Catenulisporales	1222
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales	812
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Jiangellales	522
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Sporichthyales	5927
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	286
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Glycomycetales	102
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Kineosporiales	386
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Candidatus_Nanopelagicales	13
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Acidothermales	24
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinopolysporales	17
k__Bacteria|p__Actinobacteria|c__Thermoleophilia	9551
