#Classification	GQ28_bracken_P.kreport
k__Bacteria	1530411
k__Bacteria|p__Bacteroidetes	690374
k__Bacteria|p__Firmicutes	374354
k__Bacteria|p__Actinobacteria	217130
k__Bacteria|p__Deinococcus-Thermus	108
k__Bacteria|p__Tenericutes	104
k__Bacteria|p__Proteobacteria	218538
k__Bacteria|p__Candidatus_Saccharibacteria	18107
k__Bacteria|p__Fusobacteria	8494
k__Bacteria|p__Spirochaetes	2818
k__Bacteria|p__Synergistetes	379
k__Eukaryota	16948
k__Eukaryota|k__Viridiplantae	9470
k__Eukaryota|k__Viridiplantae|p__Streptophyta	9470
k__Eukaryota|k__Metazoa	7454
k__Eukaryota|k__Metazoa|p__Chordata	7454
k__Eukaryota|k__Fungi	14
k__Eukaryota|k__Fungi|p__Basidiomycota	12
k__Eukaryota|k__Fungi|p__Ascomycota	2
k__Eukaryota|p__Apicomplexa	9
k__Archaea	2
k__Archaea|p__Euryarchaeota	2
k__Viruses	194
k__Viruses|k__Heunggongvirae	194
k__Viruses|k__Heunggongvirae|p__Uroviricota	173
k__Viruses|k__Heunggongvirae|p__Peploviricota	21
