#Classification	SRR20002439_bracken_P.kreport
k__Bacteria	61493
k__Bacteria|p__Proteobacteria	46893
k__Bacteria|p__Actinobacteria	10708
k__Bacteria|p__Firmicutes	3660
k__Bacteria|p__Deinococcus-Thermus	145
k__Bacteria|p__Cyanobacteria	7
k__Bacteria|p__Bacteroidetes	77
k__Bacteria|p__Verrucomicrobia	1
k__Bacteria|p__Fusobacteria	1
k__Eukaryota	4596
k__Eukaryota|k__Metazoa	3959
k__Eukaryota|k__Metazoa|p__Chordata	3959
k__Eukaryota|k__Fungi	379
k__Eukaryota|k__Fungi|p__Basidiomycota	364
k__Eukaryota|k__Fungi|p__Ascomycota	15
k__Eukaryota|p__Apicomplexa	171
k__Eukaryota|k__Viridiplantae	85
k__Eukaryota|k__Viridiplantae|p__Streptophyta	85
k__Archaea	2
k__Archaea|p__Euryarchaeota	2
