#Classification	S-7-POLCOM-B_bracken_O.kreport
k__Bacteria	451603
k__Bacteria|p__Proteobacteria	361137
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	217096
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	201398
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	11800
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2211
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales	53
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales	1599
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales	28
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Acidiferrobacterales	1
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Methylococcales	1
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales	1
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	86970
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	64743
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	10363
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	5381
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	6467
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales	10
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales	4
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	56397
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	56377
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales	18
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales	1
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	669
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales	668
