#Classification	S-7-POLCOM-B_bracken_P.kreport
k__Bacteria	451693
k__Bacteria|p__Proteobacteria	361137
k__Bacteria|p__Actinobacteria	72442
k__Bacteria|p__Cyanobacteria	136
k__Bacteria|p__Firmicutes	848
k__Bacteria|p__Chloroflexi	5
k__Bacteria|p__Armatimonadetes	6
k__Bacteria|p__Deinococcus-Thermus	4
k__Bacteria|p__Acidobacteria	10043
k__Bacteria|p__Bacteroidetes	5947
k__Bacteria|p__Gemmatimonadetes	3
k__Bacteria|p__Planctomycetes	946
k__Bacteria|p__Verrucomicrobia	155
k__Bacteria|p__Chlamydiae	8
k__Bacteria|p__Candidatus_Saccharibacteria	7
k__Eukaryota	2081
k__Eukaryota|k__Metazoa	1037
k__Eukaryota|k__Metazoa|p__Chordata	1037
k__Eukaryota|k__Fungi	448
k__Eukaryota|k__Fungi|p__Ascomycota	333
k__Eukaryota|k__Fungi|p__Basidiomycota	115
k__Eukaryota|k__Viridiplantae	592
k__Eukaryota|k__Viridiplantae|p__Streptophyta	588
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	4
k__Eukaryota|p__Euglenozoa	3
