#Classification	GQ6_bracken_O.kreport
k__Bacteria	11939445
k__Bacteria|p__Firmicutes	4479473
k__Bacteria|p__Firmicutes|c__Bacilli	3491825
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	3038194
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	453631
k__Bacteria|p__Firmicutes|c__Negativicutes	954709
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	912287
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	42402
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	19
k__Bacteria|p__Firmicutes|c__Clostridia	30591
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	30495
k__Bacteria|p__Firmicutes|c__Clostridia|o__Thermoanaerobacterales	90
k__Bacteria|p__Firmicutes|c__Clostridia|o__Halanaerobiales	3
k__Bacteria|p__Firmicutes|c__Clostridia|o__Koleobacterales	1
k__Bacteria|p__Firmicutes|c__Tissierellia	1949
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales	1949
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	396
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	396
k__Bacteria|p__Firmicutes|c__Limnochordia	1
k__Bacteria|p__Firmicutes|c__Limnochordia|o__Limnochordales	1
k__Bacteria|p__Actinobacteria	931304
k__Bacteria|p__Actinobacteria|c__Actinomycetia	926643
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	828229
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales	74436
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales	13980
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	9682
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	179
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptomycetales	95
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Pseudonocardiales	15
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micromonosporales	12
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptosporangiales	6
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Nakamurellales	2
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Frankiales	2
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Candidatus_Nanopelagicales	1
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	4658
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	4551
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	106
k__Bacteria|p__Actinobacteria|c__Thermoleophilia	1
k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Solirubrobacterales	1
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia	1
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia|o__Acidimicrobiales	1
k__Bacteria|p__Actinobacteria|c__Nitriliruptoria	1
k__Bacteria|p__Actinobacteria|c__Nitriliruptoria|o__Euzebyales	1
k__Bacteria|p__Tenericutes	501
k__Bacteria|p__Tenericutes|c__Mollicutes	501
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales	411
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Entomoplasmatales	72
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Acholeplasmatales	17
k__Bacteria|p__Cyanobacteria	88
k__Bacteria|p__Cyanobacteria|o__Chroococcales	20
k__Bacteria|p__Cyanobacteria|o__Oscillatoriales	1
k__Bacteria|p__Cyanobacteria|o__Nostocales	22
k__Bacteria|p__Cyanobacteria|o__Synechococcales	16
k__Bacteria|p__Cyanobacteria|o__Pseudanabaenales	18
k__Bacteria|p__Cyanobacteria|o__Pleurocapsales	6
k__Bacteria|p__Cyanobacteria|o__Gloeomargaritales	2
k__Bacteria|p__Chloroflexi	27
k__Bacteria|p__Chloroflexi|c__Dehalococcoidia	22
