#Classification	S-7-POLJUN-B_bracken_P.kreport
k__Bacteria	1524636
k__Bacteria|p__Proteobacteria	1068932
k__Bacteria|p__Actinobacteria	307147
k__Bacteria|p__Cyanobacteria	30557
k__Bacteria|p__Firmicutes	8209
k__Bacteria|p__Deinococcus-Thermus	293
k__Bacteria|p__Chloroflexi	100
k__Bacteria|p__Armatimonadetes	99
k__Bacteria|p__Tenericutes	37
k__Bacteria|p__Acidobacteria	55749
k__Bacteria|p__Bacteroidetes	39348
k__Bacteria|p__Chlorobi	19
k__Bacteria|p__Rhodothermaeota	49
k__Bacteria|p__Balneolaeota	1
k__Bacteria|p__Ignavibacteriae	1
k__Bacteria|p__Gemmatimonadetes	559
k__Bacteria|p__Fibrobacteres	1
k__Bacteria|p__Planctomycetes	11357
k__Bacteria|p__Verrucomicrobia	1297
k__Bacteria|p__Chlamydiae	33
k__Bacteria|p__Kiritimatiellaeota	428
k__Bacteria|p__Candidatus_Omnitrophica	2
k__Bacteria|p__Candidatus_Saccharibacteria	131
k__Bacteria|p__Candidatus_Absconditabacteria	4
k__Bacteria|p__Spirochaetes	103
k__Bacteria|p__Nitrospirae	35
k__Bacteria|p__Thermotogae	13
k__Bacteria|p__Synergistetes	44
k__Bacteria|p__Fusobacteria	5
k__Bacteria|p__Deferribacteres	7
k__Bacteria|p__Calditrichaeota	3
k__Bacteria|p__Aquificae	2
k__Bacteria|p__Coprothermobacterota	23
k__Bacteria|p__Atribacterota	1
k__Bacteria|p__Thermodesulfobacteria	1
k__Bacteria|p__Chrysiogenetes	31
k__Eukaryota	84806
k__Eukaryota|k__Viridiplantae	58329
k__Eukaryota|k__Viridiplantae|p__Streptophyta	57273
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	1056
k__Eukaryota|k__Metazoa	14972
k__Eukaryota|k__Metazoa|p__Chordata	14972
k__Eukaryota|k__Fungi	11337
k__Eukaryota|k__Fungi|p__Ascomycota	10494
k__Eukaryota|k__Fungi|p__Basidiomycota	842
k__Eukaryota|p__Apicomplexa	49
k__Eukaryota|p__Bacillariophyta	44
k__Eukaryota|p__Cercozoa	32
k__Eukaryota|p__Euglenozoa	34
k__Eukaryota|p__Evosea	5
k__Eukaryota|p__Rhodophyta	1
k__Archaea	177
k__Archaea|p__Euryarchaeota	172
k__Archaea|p__Thaumarchaeota	3
k__Archaea|p__Crenarchaeota	1
k__Archaea|p__Candidatus_Thermoplasmatota	1
k__Viruses	29
k__Viruses|k__Heunggongvirae	26
k__Viruses|k__Heunggongvirae|p__Uroviricota	25
k__Viruses|k__Heunggongvirae|p__Peploviricota	1
k__Viruses|k__Bamfordvirae	3
k__Viruses|k__Bamfordvirae|p__Nucleocytoviricota	3
