#Classification	W-1-TORTOR-G_bracken_P.kreport
k__Bacteria	1654258
k__Bacteria|p__Actinobacteria	390445
k__Bacteria|p__Cyanobacteria	334414
k__Bacteria|p__Firmicutes	44136
k__Bacteria|p__Deinococcus-Thermus	1863
k__Bacteria|p__Armatimonadetes	193
k__Bacteria|p__Chloroflexi	120
k__Bacteria|p__Tenericutes	16
k__Bacteria|p__Proteobacteria	757024
k__Bacteria|p__Acidobacteria	99045
k__Bacteria|p__Bacteroidetes	18623
k__Bacteria|p__Chlorobi	13
k__Bacteria|p__Rhodothermaeota	28
k__Bacteria|p__Ignavibacteriae	1
k__Bacteria|p__Gemmatimonadetes	975
k__Bacteria|p__Planctomycetes	6619
k__Bacteria|p__Verrucomicrobia	492
k__Bacteria|p__Chlamydiae	28
k__Bacteria|p__Kiritimatiellaeota	1
k__Bacteria|p__Candidatus_Saccharibacteria	41
k__Bacteria|p__Candidatus_Absconditabacteria	1
k__Bacteria|p__Spirochaetes	66
k__Bacteria|p__Fusobacteria	64
k__Bacteria|p__Nitrospirae	8
k__Bacteria|p__Thermotogae	5
k__Bacteria|p__Calditrichaeota	2
k__Bacteria|p__Synergistetes	3
k__Bacteria|p__Chrysiogenetes	19
k__Bacteria|p__Elusimicrobia	1
k__Bacteria|p__Aquificae	1
k__Eukaryota	315251
k__Eukaryota|k__Viridiplantae	288050
k__Eukaryota|k__Viridiplantae|p__Streptophyta	287897
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	153
k__Eukaryota|k__Metazoa	18116
k__Eukaryota|k__Metazoa|p__Chordata	18116
k__Eukaryota|k__Fungi	8966
k__Eukaryota|k__Fungi|p__Ascomycota	8853
k__Eukaryota|k__Fungi|p__Basidiomycota	113
k__Eukaryota|p__Cercozoa	51
k__Eukaryota|p__Apicomplexa	28
k__Eukaryota|p__Bacillariophyta	25
k__Eukaryota|p__Euglenozoa	8
k__Eukaryota|p__Evosea	3
k__Archaea	110
k__Archaea|p__Euryarchaeota	110
k__Viruses	19
k__Viruses|k__Heunggongvirae	13
k__Viruses|k__Heunggongvirae|p__Uroviricota	13
k__Viruses|k__Bamfordvirae	6
k__Viruses|k__Bamfordvirae|p__Nucleocytoviricota	6
