#Classification	S-3-POLPIL-G_bracken_P.kreport
k__Bacteria	365581
k__Bacteria|p__Proteobacteria	288611
k__Bacteria|p__Actinobacteria	43130
k__Bacteria|p__Cyanobacteria	8431
k__Bacteria|p__Chloroflexi	127
k__Bacteria|p__Firmicutes	1999
k__Bacteria|p__Deinococcus-Thermus	12
k__Bacteria|p__Armatimonadetes	9
k__Bacteria|p__Acidobacteria	16337
k__Bacteria|p__Bacteroidetes	4777
k__Bacteria|p__Gemmatimonadetes	397
k__Bacteria|p__Planctomycetes	1499
k__Bacteria|p__Verrucomicrobia	205
k__Bacteria|p__Chlamydiae	32
k__Bacteria|p__Candidatus_Saccharibacteria	2
k__Bacteria|p__Spirochaetes	5
k__Bacteria|p__Thermotogae	1
k__Eukaryota	100656
k__Eukaryota|k__Viridiplantae	84766
k__Eukaryota|k__Viridiplantae|p__Streptophyta	84700
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	65
k__Eukaryota|k__Metazoa	13178
k__Eukaryota|k__Metazoa|p__Chordata	13178
k__Eukaryota|k__Fungi	2698
k__Eukaryota|k__Fungi|p__Ascomycota	2550
k__Eukaryota|k__Fungi|p__Basidiomycota	148
k__Eukaryota|p__Apicomplexa	11
k__Eukaryota|p__Cercozoa	1
k__Archaea	1
k__Archaea|p__Euryarchaeota	1
k__Viruses	1
k__Viruses|k__Heunggongvirae	1
k__Viruses|k__Heunggongvirae|p__Uroviricota	1
