#Classification	SRR5091510_bracken_P.kreport
k__Bacteria	8648286
k__Bacteria|p__Bacteroidetes	5922131
k__Bacteria|p__Firmicutes	2564744
k__Bacteria|p__Actinobacteria	66704
k__Bacteria|p__Verrucomicrobia	37745
k__Bacteria|p__Proteobacteria	56912
k__Bacteria|p__Fusobacteria	18
k__Bacteria|p__Spirochaetes	28
k__Bacteria|p__Synergistetes	1
k__Eukaryota	5408
k__Eukaryota|k__Fungi	5305
k__Eukaryota|k__Fungi|p__Ascomycota	5305
k__Eukaryota|k__Viridiplantae	102
k__Eukaryota|k__Viridiplantae|p__Streptophyta	102
k__Viruses	166
k__Viruses|k__Heunggongvirae	166
k__Viruses|k__Heunggongvirae|p__Uroviricota	166
