#Classification	GQ26_bracken_P.kreport
k__Bacteria	1387751
k__Bacteria|p__Firmicutes	1247358
k__Bacteria|p__Actinobacteria	67459
k__Bacteria|p__Tenericutes	17
k__Bacteria|p__Bacteroidetes	55443
k__Bacteria|p__Fusobacteria	13287
k__Bacteria|p__Proteobacteria	3477
k__Bacteria|p__Spirochaetes	643
k__Bacteria|p__Candidatus_Saccharibacteria	64
k__Eukaryota	5983
k__Eukaryota|k__Metazoa	3940
k__Eukaryota|k__Metazoa|p__Chordata	3940
k__Eukaryota|k__Fungi	377
k__Eukaryota|k__Fungi|p__Ascomycota	366
k__Eukaryota|k__Fungi|p__Basidiomycota	10
k__Eukaryota|k__Viridiplantae	1666
k__Eukaryota|k__Viridiplantae|p__Streptophyta	1666
k__Viruses	3
k__Viruses|k__Heunggongvirae	3
k__Viruses|k__Heunggongvirae|p__Peploviricota	2
k__Viruses|k__Heunggongvirae|p__Uroviricota	1
